Word,Word,hits,misses,correct rejections,false alarms,acc,false_alarm_rate,hit_rate,num_synonyms,num_ratings_synonyms,num_meanings,num_ratings_meanings,word_upper,word,arousal,concrete,fam,image,valence,pos,num_meanings_wordnet,num_synonyms_wordnet,Lg10WF,Lg10CD,google_ngram_frequency
WHOREHOUSE,WHOREHOUSE,83,3,87,7,0.9444444444444444,0.07446808510638298,0.9651162790697675,2.1923076923076925,26.0,1.0,29.0,WHOREHOUSE,WHOREHOUSE,4.0,4.34615384615385,4.48275862068965,4.37037037037037,1.62068965517241,n,1,9,1.9031,1.8325,-15.21272990973005
PI,PI,82,3,87,5,0.9548022598870056,0.05434782608695652,0.9647058823529412,0.1818181818181818,22.0,1.434782608695652,23.0,PI,PI,2.59090909090909,3.03846153846154,4.17857142857143,3.16,3.25925925925926,n,5,13,2.2742,2.0,-11.789552376109311
ANGUS,ANGUS,72,4,75,9,0.91875,0.10714285714285714,0.9473684210526315,0.5,22.0,1.64,25.0,ANGUS,ANGUS,3.22727272727273,3.57692307692308,4.11111111111111,2.84,3.21428571428571,n,2,7,2.3201,1.6532,-12.542316604825883
VAGINA,VAGINA,83,5,90,7,0.9351351351351351,0.07216494845360824,0.9431818181818182,3.130434782608696,23.0,1.037037037037037,27.0,VAGINA,VAGINA,4.11111111111111,4.96428571428571,4.96428571428571,4.91304347826087,3.46428571428571,n,1,1,2.4133,2.1303,-12.408193765947534
ANUS,ANUS,71,5,75,7,0.9240506329113924,0.08536585365853659,0.9342105263157895,2.8181818181818183,22.0,1.3703703703703705,27.0,ANUS,ANUS,3.18181818181818,4.73076923076923,4.625,4.56,2.19230769230769,n,1,1,1.7559,1.6232,-13.090414893957986
NEMO,NEMO,98,7,92,14,0.9004739336492891,0.1320754716981132,0.9333333333333333,0.05,20.0,1.3461538461538465,26.0,NEMO,NEMO,2.72727272727273,3.84615384615385,3.75862068965517,3.81481481481481,3.39285714285714,,0,0,2.4082,1.5315,-14.077741715410466
BATTLESHIP,BATTLESHIP,67,5,62,23,0.821656050955414,0.27058823529411763,0.9305555555555556,1.4090909090909092,22.0,1.7142857142857142,28.0,BATTLESHIP,BATTLESHIP,4.22727272727273,4.73076923076923,4.79166666666667,4.84615384615385,2.57692307692308,n,1,2,1.9445,1.8129,-13.647165487063427
TAMPONS,TAMPONS,78,6,85,6,0.9314285714285714,0.06593406593406594,0.9285714285714286,0.5555555555555556,27.0,1.0714285714285714,28.0,TAMPONS,TAMPONS,2.04347826086957,4.7037037037037,4.69230769230769,4.625,2.03571428571429,n,2,2,1.5798,1.5315,-15.318618485891646
MADONNA,MADONNA,71,6,78,5,0.93125,0.060240963855421686,0.922077922077922,0.6666666666666666,24.0,2.1153846153846154,26.0,MADONNA,MADONNA,3.90909090909091,4.19230769230769,4.67857142857143,4.36,3.46428571428571,n,2,7,2.4533,2.1239,-13.040895383231318
THREESOME,THREESOME,70,6,74,7,0.9171974522292994,0.08641975308641975,0.9210526315789473,0.9130434782608696,23.0,1.5925925925925926,27.0,THREESOME,THREESOME,4.44444444444444,3.35714285714286,4.85714285714286,4.1304347826087,3.42857142857143,n,2,22,2.0374,1.7634,-14.66824377425118
PROSTITUTES,PROSTITUTES,68,6,64,13,0.8741721854304636,0.16883116883116883,0.918918918918919,3.863636363636364,22.0,1.5714285714285714,28.0,PROSTITUTES,PROSTITUTES,4.09090909090909,4.42307692307692,4.70833333333333,4.53846153846154,2.03846153846154,n,2,13,2.1673,2.0294,-12.618813104505804
MONTGOMERY,MONTGOMERY,76,7,83,8,0.9137931034482759,0.08791208791208792,0.9156626506024096,0.1052631578947368,19.0,1.3846153846153846,26.0,MONTGOMERY,MONTGOMERY,2.47826086956522,3.85185185185185,3.5,2.79166666666667,3.21428571428571,n,3,9,2.49,1.9777,-12.022423844904996
HELLHOLE,HELLHOLE,64,6,69,5,0.9236111111111112,0.06756756756756757,0.9142857142857143,2.782608695652174,23.0,1.1851851851851851,27.0,HELLHOLE,HELLHOLE,3.84,2.04,4.64285714285714,3.19230769230769,1.14285714285714,n,1,6,1.8976,1.8573,-15.466497546459648
HOOTERS,HOOTERS,72,7,73,13,0.8787878787878788,0.1511627906976744,0.9113924050632911,2.56,25.0,2.2758620689655173,29.0,HOOTERS,HOOTERS,3.27272727272727,3.69230769230769,4.37931034482759,4.40740740740741,3.17241379310345,n,3,17,2.0755,1.8261,-16.199409261460847
GARGOYLES,GARGOYLES,72,7,73,8,0.90625,0.09876543209876543,0.9113924050632911,0.8,20.0,1.5185185185185186,27.0,GARGOYLES,GARGOYLES,3.59090909090909,4.52,4.375,4.73076923076923,2.46153846153846,n,2,2,1.3617,1.1461,-15.043805493564427
SOLOMON,SOLOMON,70,7,72,13,0.8765432098765432,0.15294117647058825,0.9090909090909091,0.0434782608695652,23.0,1.148148148148148,27.0,SOLOMON,SOLOMON,2.31818181818182,3.65384615384615,3.75862068965517,3.0,3.10344827586207,n,1,1,2.1931,1.8195,-11.549141511022244
HEMORRHAGING,HEMORRHAGING,70,7,71,15,0.8650306748466258,0.1744186046511628,0.9090909090909091,1.6666666666666667,18.0,1.3333333333333333,27.0,HEMORRHAGING,HEMORRHAGING,4.25,3.24,4.44444444444444,3.75,1.14285714285714,v,1,3,1.8451,1.7924,-15.33892108598683
UNICORN,UNICORN,70,7,73,8,0.9050632911392406,0.09876543209876543,0.9090909090909091,0.08,25.0,1.0769230769230769,26.0,UNICORN,UNICORN,3.68181818181818,3.8,4.78571428571429,4.92,4.25,n,1,1,2.1038,1.5798,-13.67098605950053
YAHOO,YAHOO,78,8,88,4,0.9325842696629213,0.043478260869565216,0.9069767441860465,0.925925925925926,27.0,1.9655172413793105,29.0,YAHOO,YAHOO,3.5,3.15384615384615,4.68965517241379,2.96296296296296,3.44827586206897,n,3,9,2.1761,1.9912,-14.251059739948277
POTBELLY,POTBELLY,67,7,74,2,0.94,0.02631578947368421,0.9054054054054054,1.8636363636363635,22.0,1.5384615384615383,26.0,POTBELLY,POTBELLY,2.5,3.5,4.58333333333333,4.53846153846154,2.38461538461538,n,2,7,0.7782,0.7782,-16.242279753020846
WOLVERINE,WOLVERINE,75,8,78,12,0.884393063583815,0.13333333333333333,0.9036144578313253,0.16,25.0,1.9583333333333333,24.0,WOLVERINE,WOLVERINE,4.45454545454545,4.5,4.67857142857143,4.48,3.14285714285714,n,3,9,1.5185,1.1761,-14.883368622193515
PSST,PSST,64,7,83,1,0.9483870967741935,0.011904761904761904,0.9014084507042254,0.7142857142857143,14.0,1.0,19.0,PSST,PSST,2.5,1.67857142857143,4.0,2.26086956521739,3.07142857142857,,0,0,2.4048,2.2504,-16.188895903709525
HEIL,HEIL,63,7,73,4,0.9251700680272109,0.05194805194805195,0.9,0.8571428571428571,14.0,1.2105263157894737,19.0,HEIL,HEIL,2.80952380952381,2.30769230769231,2.68965517241379,2.07407407407407,2.3448275862069,,0,0,2.2041,1.7076,-14.795322592261046
ENEMA,ENEMA,72,8,78,9,0.8982035928143712,0.10344827586206896,0.9,0.4545454545454545,22.0,1.125,24.0,ENEMA,ENEMA,2.59090909090909,4.34615384615385,4.17857142857143,3.88,1.46428571428571,n,1,2,1.8633,1.7243,-14.208223252236849
BAGHDAD,BAGHDAD,71,8,80,6,0.9151515151515152,0.06976744186046512,0.8987341772151899,0.1,20.0,1.0,27.0,BAGHDAD,BAGHDAD,3.45,4.48,4.37037037037037,3.66666666666667,2.17857142857143,n,1,3,1.8751,1.5441,-12.65284785632883
GPS,GPS,62,7,73,1,0.9440559440559441,0.013513513513513514,0.8985507246376812,0.6666666666666666,21.0,1.1111111111111112,27.0,GPS,GPS,2.72727272727273,4.30769230769231,4.70833333333333,3.57692307692308,3.48,n,1,2,2.1239,1.9294,-12.062128723319132
WOO,WOO,78,9,76,17,0.8555555555555555,0.1827956989247312,0.896551724137931,2.1818181818181817,22.0,1.5454545454545454,22.0,WOO,WOO,3.5,1.88461538461538,4.0,1.48,4.0,v,2,6,2.5366,2.2765,-13.179310449492789
WETBACK,WETBACK,67,8,75,4,0.922077922077922,0.05063291139240506,0.8933333333333333,1.4,20.0,1.1666666666666667,24.0,WETBACK,WETBACK,3.45454545454545,2.74074074074074,3.92307692307692,3.29166666666667,1.42857142857143,n,1,3,1.3979,1.2788,-16.68779657078723
BRAINWASHED,BRAINWASHED,65,8,65,16,0.8441558441558441,0.19753086419753085,0.8904109589041096,1.1666666666666667,24.0,1.1851851851851851,27.0,BRAINWASHED,BRAINWASHED,3.66666666666667,2.17857142857143,4.96428571428571,2.39130434782609,1.5,v,3,3,1.9345,1.8513,-14.779493138947249
SHH,SHH,87,11,103,5,0.9223300970873787,0.046296296296296294,0.8877551020408163,1.8235294117647056,17.0,1.12,25.0,SHH,SHH,1.84,1.92,4.03703703703704,2.11538461538462,2.53571428571429,,0,0,3.4489,3.0955,-13.644481064352624
LUPUS,LUPUS,77,10,83,11,0.8839779005524862,0.11702127659574468,0.8850574712643678,0.0909090909090909,22.0,1.1111111111111112,27.0,LUPUS,LUPUS,3.05555555555556,3.60714285714286,3.92857142857143,2.43478260869565,1.32142857142857,n,2,2,1.9494,1.2553,-12.969355869450778
BOOMERANG,BOOMERANG,76,10,73,18,0.8418079096045198,0.1978021978021978,0.8837209302325582,0.3478260869565217,23.0,1.6538461538461535,26.0,BOOMERANG,BOOMERANG,3.44444444444444,4.67857142857143,4.78571428571429,4.8695652173913,3.17857142857143,n,3,6,1.6812,1.4624,-14.492374809136807
EISENHOWER,EISENHOWER,53,7,70,2,0.9318181818181818,0.027777777777777776,0.8833333333333333,0.0476190476190476,21.0,1.0344827586206895,29.0,EISENHOWER,EISENHOWER,2.54166666666667,4.33333333333333,4.2962962962963,4.11111111111111,3.48148148148148,n,1,6,2.1644,1.9138,-12.353802436699382
MANNEQUIN,MANNEQUIN,53,7,58,12,0.8538461538461538,0.17142857142857143,0.8833333333333333,1.0869565217391304,23.0,1.1111111111111112,27.0,MANNEQUIN,MANNEQUIN,1.94444444444444,4.85714285714286,4.74074074074074,4.8695652173913,2.92857142857143,n,2,11,1.7993,1.6128,-14.63837300606951
BIKINI,BIKINI,68,9,85,3,0.9272727272727272,0.03409090909090909,0.8831168831168831,1.7272727272727273,22.0,1.2592592592592593,27.0,BIKINI,BIKINI,4.4,4.52,5.0,4.79166666666667,4.17857142857143,n,2,3,2.2765,2.1271,-13.445627823294704
COCCYX,COCCYX,67,9,83,1,0.9375,0.011904761904761904,0.881578947368421,0.5714285714285714,14.0,1.0,19.0,COCCYX,COCCYX,2.66666666666667,3.92,2.44444444444444,3.18518518518519,2.96296296296296,n,1,2,0.9031,0.9031,-15.20086406575563
ALZHEIMER,ALZHEIMER,74,10,86,6,0.9090909090909091,0.06521739130434782,0.8809523809523809,0.2307692307692307,26.0,1.0384615384615383,26.0,ALZHEIMER,ALZHEIMER,2.95652173913043,2.92592592592593,4.46153846153846,2.58333333333333,1.17857142857143,,0,0,1.9345,1.7404,-11.939127143340729
PUSSYFOOT,PUSSYFOOT,66,9,81,4,0.91875,0.047058823529411764,0.88,2.0,20.0,1.4,25.0,PUSSYFOOT,PUSSYFOOT,2.63636363636364,2.04,3.89655172413793,2.07407407407407,2.3448275862069,v,1,4,0.9031,0.9031,-17.36187643048656
DIVA,DIVA,80,11,90,11,0.8854166666666666,0.10891089108910891,0.8791208791208791,2.586206896551724,29.0,1.5555555555555556,27.0,DIVA,DIVA,3.95833333333333,3.12,4.6,3.53571428571429,2.53571428571429,n,1,2,1.8976,1.4472,-14.248228600058097
KNUCKLEHEADS,KNUCKLEHEADS,80,11,91,10,0.890625,0.09900990099009901,0.8791208791208791,2.347826086956522,23.0,1.0740740740740742,27.0,KNUCKLEHEADS,KNUCKLEHEADS,3.38888888888889,2.39285714285714,4.67857142857143,3.1304347826087,2.14285714285714,n,1,13,1.4314,1.415,-17.248299246549397
BATMAN,BATMAN,64,9,74,3,0.92,0.03896103896103896,0.8767123287671232,0.3333333333333333,24.0,1.0384615384615383,26.0,BATMAN,BATMAN,3.88888888888889,4.57142857142857,4.89285714285714,5.0,3.92857142857143,n,1,1,2.3802,1.9638,-13.329537742493043
LINGERIE,LINGERIE,64,9,68,11,0.868421052631579,0.13924050632911392,0.8767123287671232,2.0,23.0,1.0,28.0,LINGERIE,LINGERIE,4.41666666666667,4.6,4.85714285714286,4.80769230769231,3.92857142857143,n,1,2,2.1614,2.0682,-14.007726215702307
FATTY,FATTY,71,10,82,6,0.9053254437869822,0.06818181818181818,0.8765432098765432,2.391304347826087,23.0,1.8888888888888888,27.0,FATTY,FATTY,2.83333333333333,2.92857142857143,4.85714285714286,3.95652173913043,1.71428571428571,n,2,7,2.4166,2.1206,-11.281586225503368
NAPA,NAPA,63,9,67,13,0.8552631578947368,0.1625,0.875,0.1764705882352941,17.0,1.4074074074074074,27.0,NAPA,NAPA,2.40909090909091,3.92307692307692,3.62068965517241,2.88888888888889,3.24137931034483,n,1,5,1.699,1.4314,-14.262957961957625
MANHATTAN,MANHATTAN,70,10,80,6,0.9036144578313253,0.06976744186046512,0.875,0.4583333333333333,24.0,1.5714285714285714,28.0,MANHATTAN,MANHATTAN,4.0,4.29166666666667,4.67857142857143,4.42307692307692,3.35714285714286,n,2,2,2.7987,2.5821,-12.078269152982877
MASTIFF,MASTIFF,77,11,84,13,0.8702702702702703,0.13402061855670103,0.875,0.4166666666666667,24.0,1.0434782608695652,23.0,MASTIFF,MASTIFF,3.43478260869565,4.37037037037037,4.23076923076923,4.0,3.32142857142857,n,1,1,0.8451,0.8451,-15.312453540843052
DIKE,DIKE,56,8,65,6,0.8962962962962963,0.08450704225352113,0.875,1.809523809523809,21.0,1.52,25.0,DIKE,DIKE,2.85714285714286,3.76923076923077,3.625,3.42307692307692,2.76923076923077,n,3,8,1.3424,1.0792,-14.103206623625184
MANUFACTURING,MANUFACTURING,69,10,66,20,0.8181818181818182,0.23255813953488372,0.8734177215189873,2.6206896551724137,29.0,1.2962962962962965,27.0,MANUFACTURING,MANUFACTURING,2.375,2.96,4.96666666666667,3.28571428571429,3.17857142857143,n,5,13,1.9395,1.8633,-10.398441987932491
LOONY,LOONY,69,10,75,11,0.8727272727272727,0.12790697674418605,0.8734177215189873,4.0,26.0,1.5517241379310345,29.0,LOONY,LOONY,3.72727272727273,1.69230769230769,4.44827586206897,2.51851851851852,2.37931034482759,n,2,28,2.0934,2.0294,-14.988405013462405
