WORD,WORD,SyntCat,Category,subcat1,subcat2,subcat3,subcat4,Article,hits,misses,false_alarms,correct_rejections,acc,false_alarm_rate,hit_rate,num_synonyms,num_ratings_synonyms,num_meanings,num_ratings_meanings,word_upper,word,arousal,concrete,fam,image,valence,word_lower_no_article,Word_article,Lg10WF,Lg10CD,google_ngram_frequency,Word,LgTV_T=1700,LgDF,orth_neighborhood,phon_neighborhood,tokens_used,orth_vals_used,phon_vals_used,log_orth_neighborhood,log_phon_neighborhood
TESTY,TESTY,ADJ,,,,,,,49,32,8,83,0.7674418604651163,0.08791208791208792,0.6049382716049383,3.28,25.0,1.3103448275862069,29.0,TESTY,testy,3.59090909090909,1.58620689655172,4.2,1.73076923076923,2.08,testy,testy,1.699,1.6335,-15.01439019326011,TESTY,,,3.0,4.0,testy,3,4,1.3862943611198906,1.6094379124341003
VALUABLE,VALUABLE,ADJ,,,,,,,32,47,12,75,0.6445783132530121,0.13793103448275862,0.4050632911392405,3.5384615384615383,26.0,1.2413793103448276,29.0,VALUABLE,valuable,3.72727272727273,1.58620689655172,4.7,2.30769230769231,4.56,valuable,valuable,2.9009,2.8248,-10.405319636604904,VALUABLE,3.838556,6.180017,1.0,1.0,valuable,1,1,0.6931471805599453,0.6931471805599453
TO FAX,TO FAX,VERB,,,,,,to,48,22,2,76,0.8378378378378378,0.02564102564102564,0.6857142857142857,0.6153846153846154,26.0,1.0344827586206895,29.0,TO FAX,to fax,2.0,3.75862068965517,4.8,3.84615384615385,2.95833333333333,fax,to fax,2.5539,2.3636,-16.558364290137355,TO FAX,,,17.0,29.0,fax,17,29,2.8903717578961645,3.4011973816621555
IRATE,IRATE,ADJ,,,,,,,47,34,3,84,0.7797619047619048,0.034482758620689655,0.5802469135802469,3.72,25.0,1.1666666666666667,30.0,IRATE,irate,4.5,1.82758620689655,4.46666666666667,2.69230769230769,1.48,irate,irate,1.5051,1.4914,-14.173767312483744,IRATE,,,4.0,6.0,irate,4,6,1.6094379124341003,1.9459101490553132
A FOREARM,A FOREARM,NOUN,human body,external,,,,a,47,23,3,80,0.8300653594771242,0.03614457831325301,0.6714285714285714,0.5833333333333334,24.0,1.0666666666666669,30.0,A FOREARM,a forearm,2.36363636363636,4.71428571428571,4.76666666666667,4.65384615384615,3.04,forearm,a forearm,1.7076,1.6232,-16.239910547183754,A FOREARM,2.154665,3.332205,2.0,2.0,forearm,2,2,1.0986122886681098,1.0986122886681098
DRACONIAN,DRACONIAN,ADJ,,,,,,,53,14,3,78,0.8851351351351351,0.037037037037037035,0.7910447761194029,3.05,20.0,1.125,24.0,DRACONIAN,draconian,3.0,1.79310344827586,3.0,1.69230769230769,1.88,draconian,draconian,0.9031,0.8451,-14.333386396593934,DRACONIAN,,,,,draconian,,,,
A POLLSTER,A POLLSTER,NOUN,people,Politics,,,,a,50,36,4,92,0.7802197802197802,0.041666666666666664,0.5813953488372093,1.0952380952380951,21.0,1.1363636363636365,22.0,A POLLSTER,a pollster,2.13636363636364,3.41379310344828,3.6,2.30769230769231,2.72,pollster,a pollster,,,-17.90804886247484,A POLLSTER,,,,,pollster,,,,
A SUCCESSOR,A SUCCESSOR,NOUN,people,Politics,,,,a,44,26,15,67,0.7302631578947368,0.18292682926829268,0.6285714285714286,2.230769230769231,26.0,1.2758620689655171,29.0,A SUCCESSOR,a successor,2.54545454545455,2.79310344827586,4.36666666666667,1.76,3.28,successor,a successor,1.9345,1.8325,-14.140371825427389,A SUCCESSOR,2.850225,4.174387,0.0,1.0,successor,0,1,0.0,0.6931471805599453
AN ALLEN WRENCH,AN ALLEN WRENCH,NOUN,tool,,,,,an,54,10,7,61,0.8712121212121212,0.10294117647058823,0.84375,0.4,25.0,1.1428571428571428,28.0,AN ALLEN WRENCH,an allen wrench,2.22727272727273,4.82758620689655,4.26666666666667,4.88461538461539,3.16,allen wrench,an allen wrench,,,-18.881986226225333,AN ALLEN WRENCH,,,5.0,5.5,allen;wrench,6;4,3;8,1.791759469228055,1.8718021769015913
THE GRAND CANYON,THE GRAND CANYON,NOUN,earth formation,land,national park,famous,,the,58,7,12,58,0.8592592592592593,0.17142857142857143,0.8923076923076924,0.3076923076923077,26.0,1.0333333333333334,30.0,THE GRAND CANYON,the Grand Canyon,3.86363636363636,4.82758620689655,4.66666666666667,4.96153846153846,4.16,Grand Canyon,the Grand Canyon,,,-14.461012099837257,THE GRAND CANYON,,,6.0,6.5,grand;canyon,8;4,12;1,1.9459101490553132,2.0149030205422647
DOMESTICATED,DOMESTICATED,ADJ,,,,,,,40,36,8,76,0.725,0.09523809523809523,0.5263157894736842,2.185185185185185,27.0,1.4666666666666666,30.0,DOMESTICATED,domesticated,1.90909090909091,1.96551724137931,4.43333333333333,2.0,3.4,domesticated,domesticated,1.4624,1.3617,-13.233011984281756,DOMESTICATED,2.355336,3.555348,0.0,0.0,domesticated,0,0,0.0,0.0
