word,WORD,SyntCat,Category,hits,misses,false_alarms,correct_rejections,log_freqs,log_word_len,Article,Word,X,Input.trial_,Experiment.x,meanings,meanings_n,Experiment.y,num_synonyms,syn_n,arousal,concrete,fam,image,valence,NgramFreqArticle,NgramFreqNoArticle,num_syn,r.given.w,w.given.r,Acc,false_alarm_rate,hit_rate
A BABOON,a BABOON,NOUN,living things,51,21,5,70,0.37567,0.40083,a,BABOON,1,A BABOON,mm_mar_2013,1.25925925925926,27,mm_mar_2013,0.8,25,3.65217391304348,4.62962962962963,4.78571428571429,4.79310344827586,3.23076923076923,-16.19678609686154,-14.3857688609654,1.8,0.794117647058823,0.5555555555555556,0.8231292517006803,0.06666666666666667,0.7083333333333334
A BACHELOR,a BACHELOR,NOUN,family relations,60,6,16,56,0.62126,0.50579,a,BACHELOR,1,A BACHELOR,mm_mar_2013,1.32,25,mm_mar_2013,1.65,20,3.17391304347826,3.85,4.89655172413793,3.19230769230769,3.35714285714286,-13.370279639779461,-12.252586969619548,2.65,0.7575757575757576,0.37735849056603776,0.8405797101449275,0.2222222222222222,0.9090909090909091
A BAGGAGE MAN,a BAGGAGE MAN,NOUN,people,71,17,4,92,0.0045119,0.62198,a,BAGGAGE MAN,1,A BAGGAGE MAN,mm_mar_2013,1.17857142857143,28,mm_mar_2013,1.34782608695652,23,2.13636363636364,4.17241379310345,3.56666666666667,3.96153846153846,2.96551724137931,-21.50302506698461,-19.20081720782488,2.3478260869565197,0.8484848484848475,0.42592592592592626,0.8858695652173914,0.041666666666666664,0.8068181818181818
A BAKING TRAY,a BAKING TRAY,NOUN,household item,45,26,1,77,0.33744,0.62198,a,BAKING TRAY,2,A BAKING TRAY,mm_mar_2013,1.03333333333333,30,mm_mar_2013,1.34615384615385,26,1.90909090909091,4.79310344827586,4.63333333333333,4.57692307692308,3.43333333333333,-15.782918270895799,-15.155471095838692,2.3461538461538503,0.967741935483874,0.42622950819672056,0.8187919463087249,0.01282051282051282,0.6338028169014085
A BANANA SPLIT,a BANANA SPLIT,NOUN,food,70,12,4,86,0.29904,0.65373,a,BANANA SPLIT,1,A BANANA SPLIT,mm_mar_2013,1.13333333333333,30,mm_mar_2013,0.304347826086957,23,3.61904761904762,4.65217391304348,4.85714285714286,4.8,4.5,-17.63182408634344,-16.634037979318,1.304347826086957,0.8823529411764732,0.7666666666666664,0.9069767441860465,0.044444444444444446,0.8536585365853658
A BARITONE SAXOPHONE,a BARITONE SAXOPHONE,NOUN,musical instruments,56,16,3,79,0.13817,0.80166,a,BARITONE SAXOPHONE,2,A BARITONE SAXOPHONE,mm_mar_2013,1,28,mm_mar_2013,0.0476190476190476,21,3,4.69565217391304,3.79310344827586,4.28,3.53571428571429,-20.809877878857986,-17.906416206143913,1.0476190476190477,1,0.9545454545454545,0.8766233766233766,0.036585365853658534,0.7777777777777778
A BARKEEPER,a BARKEEPER,NOUN,people,67,21,5,91,0.17134,0.54877,a,BARKEEPER,1,A BARKEEPER,mm_mar_2013,1.11111111111111,27,mm_mar_2013,2,23,3,4.19230769230769,4.57692307692308,4.15384615384615,3.41379310344828,-19.719610957336744,-16.97784554811252,3,0.9000000000000009,0.3333333333333333,0.8586956521739131,0.052083333333333336,0.7613636363636364
A BARONESS,a BARONESS,NOUN,people,53,21,4,76,0.24436,0.50579,a,BARONESS,2,A BARONESS,mm_mar_2013,1.04166666666667,24,mm_mar_2013,0.636363636363636,22,3.2,3.56,3.68,2.88461538461538,3.03333333333333,-17.491749437945572,-13.726070676558837,1.636363636363636,0.9599999999999969,0.6111111111111113,0.8376623376623377,0.05,0.7162162162162162
A BASS CLARINET,a BASS CLARINET,NOUN,musical instruments,48,18,5,68,0.21756,0.68293,a,BASS CLARINET,3,A BASS CLARINET,mm_mar_2013,1,27,mm_mar_2013,0.0454545454545455,22,2.71428571428571,4.56521739130435,3.72413793103448,4.64,3.53571428571429,-19.66049326676431,-16.596365381394804,1.0454545454545454,1,0.9565217391304348,0.8345323741007195,0.0684931506849315,0.7272727272727273
A BASS VIOLA,a BASS VIOLA,NOUN,musical instruments,59,23,2,87,0,0.58721,a,BASS VIOLA,4,A BASS VIOLA,mm_mar_2013,1,27,mm_mar_2013,0,21,2.66666666666667,4.26086956521739,3.21428571428571,4.56,3.64285714285714,-22.329703630440488,-20.859045224629085,1,1,1,0.8538011695906432,0.02247191011235955,0.7195121951219512
