,Word,hits,misses,correct.rejections,false.alarms,word.x,pos,wn_num_meanings,wn_num_synonyms,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,meanings,meanings_n,num_synonyms,syn_n,arousal,concrete,fam,image,valence,X,word.y,mean.cor,num_syn,r.given.w,w.given.r,Acc,freq,M,false.alarm.rate,hit.rate,GloVe distinctiveness
0,ABBY,67,15,82,7,abby,,0,0,637,102,0,0,12.49,2.8048,1.22,2.0128,1.59090909090909,22,0.31818181818181795,22,2.47368421052632,3.4285714285714306,3.6551724137931,3.12,3.5,617,abby,-0.0229816925065081,1.318181818181818,0.628571428571429,0.7586206896551726,0.8713450292397661,0.0,-0.2762533766281579,0.07865168539325842,0.8170731707317073,0.09146891082166377
1,ABDUCTION,53,20,66,14,abduction,n,2,2,185,111,179,109,3.63,2.2695,1.32,2.0492,1.22222222222222,27,1.8695652173913,23,4.16666666666667,2.89285714285714,4.89655172413793,3.24,1.25,1423,abduction,0.18828165638636998,2.8695652173912998,0.8181818181818196,0.348484848484849,0.7777777777777778,4.700480365792417,-5.754640891889691,0.175,0.726027397260274,0.08497891954835445
2,ABIDE,51,32,78,8,abide,v,2,15,138,124,133,120,2.71,2.1430000000000002,1.48,2.0969,1.37931034482759,29,2.7407407407407405,27,2.09090909090909,2.1111111111111103,4.48275862068965,1.37931034482759,3.13793103448276,1538,abide,0.221448260253691,3.7407407407407405,0.7249999999999979,0.2673267326732674,0.7633136094674556,4.795790545596741,-6.11507419643367,0.09302325581395347,0.6144578313253012,0.1076082575412508
3,ABIGAIL,62,21,83,8,abigail,,0,0,154,43,0,0,3.02,2.1903,0.51,1.6435,1.0,25,0.294117647058824,17,2.7272727272727297,3.5,4.13333333333333,2.4583333333333304,3.44827586206897,394,abigail,-0.0851633361706847,1.294117647058824,1.0,0.7727272727272724,0.8333333333333334,0.0,-0.25782910930210023,0.08791208791208792,0.7469879518072289,0.07811374598089395
4,ABJECT,46,28,84,4,abject,s,4,10,20,20,17,17,0.39,1.3222,0.24,1.3222,1.16,25,2.125,16,3.0,2.0,3.39285714285714,1.28571428571429,2.46153846153846,709,abject,0.00132708500263108,3.125,0.8620689655172414,0.32,0.8024691358024691,2.8903717578961645,-4.0298060410845284,0.045454545454545456,0.6216216216216216,0.1313404108703505
5,ABNER,54,24,83,2,abner,,0,0,172,16,0,0,3.37,2.238,0.19,1.2304,1.05555555555556,18,0.0833333333333333,12,2.45454545454545,2.84615384615385,2.7241379310344795,2.0416666666666696,2.9310344827586206,164,abner,-0.18599102034674697,1.0833333333333333,0.9473684210526276,0.9230769230769232,0.8404907975460123,0.0,-0.08004270767353637,0.023529411764705882,0.6923076923076923,0.034286595609298094
6,ABROAD,47,30,72,13,abroad,s,4,7,250,203,248,201,4.9,2.3997,2.42,2.3096,1.31034482758621,29,1.6521739130434798,23,3.7916666666666696,2.73076923076923,4.62962962962963,2.60714285714286,3.81481481481481,2148,abroad,0.507197862576241,2.6521739130434803,0.7631578947368404,0.37704918032786855,0.7345679012345679,5.308267697401205,-6.283647345645367,0.15294117647058825,0.6103896103896104,0.11157798647973718
7,ABSENT,50,40,79,15,absent,v,4,11,131,111,117,100,2.57,2.1206,1.32,2.0492,1.4074074074074099,27,2.57692307692308,26,1.90909090909091,2.57692307692308,4.888888888888889,2.24,2.31034482758621,2031,absent,0.41278772113883205,3.57692307692308,0.7105263157894723,0.27956989247311803,0.7010869565217391,4.61512051684126,-5.889623471973034,0.1595744680851064,0.5555555555555556,0.14591617811733798
8,ABSOLVE,38,30,69,4,absolve,v,2,5,29,25,27,24,0.57,1.4771,0.3,1.415,1.24,25,2.60869565217391,23,3.04545454545455,1.53846153846154,4.28571428571429,1.25,3.5,326,absolve,-0.110771946727475,3.60869565217391,0.8064516129032259,0.27710843373494,0.7588652482269503,3.218875824868201,-4.502222216735649,0.0547945205479452,0.5588235294117647,0.0919805014525681
9,ABUNDANTLY,52,46,92,10,abundantly,r,1,4,21,21,21,21,0.41,1.3424,0.25,1.3424,1.18518518518519,27,2.75,20,2.95454545454545,1.88461538461538,4.75862068965517,2.0,4.03448275862069,1009,abundantly,0.0805182288032157,3.75,0.8437499999999966,0.26666666666666666,0.72,3.0910424533583165,-4.412798293340637,0.09803921568627452,0.5306122448979592,0.13003513127209004
