,Word,Word.1,hits,misses,correct rejections,false alarms,acc,false_alarm_rate,hit_rate,num_synonyms,num_ratings_synonyms,num_meanings,num_ratings_meanings,word_upper,word,arousal,concrete,fam,image,valence,pos,num_meanings_wordnet,num_synonyms_wordnet,Lg10WF,Lg10CD,google_ngram_frequency,LgTV_T=1700,LgDF,orth_neighborhood,phon_neighborhood,log_orth_neighborhood,log_phon_neighborhood,GloVe distinctiveness
0,WHOREHOUSE,WHOREHOUSE,83,3,87,7,0.9444444444444444,0.0744680851063829,0.9651162790697676,2.1923076923076925,26.0,1.0,29.0,WHOREHOUSE,WHOREHOUSE,4.0,4.34615384615385,4.48275862068965,4.37037037037037,1.62068965517241,n,1,9,1.9031,1.8325,-15.21272990973005,,,0.0,0.0,0.0,0.0,0.09168318545467197
1,PI,PI,82,3,87,5,0.9548022598870056,0.0543478260869565,0.9647058823529412,0.1818181818181818,22.0,1.434782608695652,23.0,PI,PI,2.59090909090909,3.03846153846154,4.17857142857143,3.16,3.25925925925926,n,5,13,2.2742,2.0,-11.789552376109311,1.566878,2.302585,11.0,56.0,2.4849066497880004,4.04305126783455,0.07441671966131078
2,ANGUS,ANGUS,72,4,75,9,0.91875,0.1071428571428571,0.9473684210526316,0.5,22.0,1.64,25.0,ANGUS,ANGUS,3.22727272727273,3.57692307692308,4.11111111111111,2.84,3.21428571428571,n,2,7,2.3201,1.6532,-12.542316604825883,1.191394,1.609438,2.0,1.0,1.0986122886681098,0.6931471805599453,0.07729005290561748
3,VAGINA,VAGINA,83,5,90,7,0.9351351351351352,0.0721649484536082,0.9431818181818182,3.130434782608696,23.0,1.037037037037037,27.0,VAGINA,VAGINA,4.11111111111111,4.96428571428571,4.96428571428571,4.91304347826087,3.46428571428571,n,1,1,2.4133,2.1303,-12.408193765947534,1.513294,3.091042,2.0,1.0,1.0986122886681098,0.6931471805599453,0.13144292571875846
4,ANUS,ANUS,71,5,75,7,0.9240506329113924,0.0853658536585365,0.9342105263157896,2.8181818181818183,22.0,1.3703703703703705,27.0,ANUS,ANUS,3.18181818181818,4.73076923076923,4.625,4.56,2.19230769230769,n,1,1,1.7559,1.6232,-13.090414893957986,1.575536,3.044522,4.0,0.0,1.6094379124341005,0.0,0.11515584108795564
5,NEMO,NEMO,98,7,92,14,0.9004739336492891,0.1320754716981132,0.9333333333333332,0.05,20.0,1.3461538461538465,26.0,NEMO,NEMO,2.72727272727273,3.84615384615385,3.75862068965517,3.81481481481481,3.39285714285714,,0,0,2.4082,1.5315,-14.077741715410466,0.348307,2.639057,,,,,0.0808507757924577
6,BATTLESHIP,BATTLESHIP,67,5,62,23,0.821656050955414,0.2705882352941176,0.9305555555555556,1.4090909090909092,22.0,1.7142857142857142,28.0,BATTLESHIP,BATTLESHIP,4.22727272727273,4.73076923076923,4.79166666666667,4.84615384615385,2.57692307692308,n,1,2,1.9445,1.8129,-13.647165487063427,1.437067,2.079442,1.0,1.0,0.6931471805599453,0.6931471805599453,0.0802288355648877
7,TAMPONS,TAMPONS,78,6,85,6,0.9314285714285714,0.0659340659340659,0.9285714285714286,0.5555555555555556,27.0,1.0714285714285714,28.0,TAMPONS,TAMPONS,2.04347826086957,4.7037037037037,4.69230769230769,4.625,2.03571428571429,n,2,2,1.5798,1.5315,-15.318618485891646,,,1.0,1.0,0.6931471805599453,0.6931471805599453,0.07082291537328747
8,MADONNA,MADONNA,71,6,78,5,0.93125,0.0602409638554216,0.922077922077922,0.6666666666666666,24.0,2.1153846153846154,26.0,MADONNA,MADONNA,3.90909090909091,4.19230769230769,4.67857142857143,4.36,3.46428571428571,n,2,7,2.4533,2.1239,-13.040895383231318,,,0.0,0.0,0.0,0.0,0.11662928769342804
9,THREESOME,THREESOME,70,6,74,7,0.9171974522292994,0.0864197530864197,0.9210526315789472,0.9130434782608696,23.0,1.5925925925925926,27.0,THREESOME,THREESOME,4.44444444444444,3.35714285714286,4.85714285714286,4.1304347826087,3.42857142857143,n,2,22,2.0374,1.7634,-14.66824377425118,,,0.0,0.0,0.0,0.0,0.0856976586011488
