Unnamed: 0,word_upper,word_lower,pos,acc,hits,misses,correct_rejections,false_alarms,false_alarm_rate,hit_rate,# meanings (human),# synonyms (human),# meanings (Wordnet),# synonyms (Wordnet),Log Subtlex frequency,Log Subtlex CD,Google n-gram frequency,Concreteness,Imageability,Familiarity,Valence,Arousal,GloVe distinctiveness,Log topic variability,Log document frequency,Log orthographic neighborhood size,Log phonological neighborhood size,num_ratings_meanings,num_ratings_synonyms,Word,pos_ntlk,pos_category
0,WHOREHOUSE,whorehouse,n,0.9444444444444444,83,3,87,7,0.0744680851063829,0.9651162790697676,1.0,2.1923076923076925,1,9,1.9031,1.8325,-15.21272990973005,4.34615384615385,4.37037037037037,4.48275862068965,1.62068965517241,4.0,0.0916831854546719,,,0.0,0.0,29.0,26.0,whorehouse,NN,NOUN
1,PI,pi,n,0.9548022598870056,82,3,87,5,0.0543478260869565,0.9647058823529412,1.434782608695652,0.1818181818181818,5,13,2.2742,2.0,-11.789552376109311,3.03846153846154,3.16,4.17857142857143,3.25925925925926,2.59090909090909,0.0744167196613107,1.566878,2.302585,2.4849066497880004,4.04305126783455,23.0,22.0,pi,NN,NOUN
2,ANGUS,angus,n,0.91875,72,4,75,9,0.1071428571428571,0.9473684210526316,1.64,0.5,2,7,2.3201,1.6532,-12.542316604825883,3.57692307692308,2.84,4.11111111111111,3.21428571428571,3.22727272727273,0.0772900529056174,1.191394,1.609438,1.0986122886681098,0.6931471805599453,25.0,22.0,angus,NN,NOUN
3,VAGINA,vagina,n,0.9351351351351352,83,5,90,7,0.0721649484536082,0.9431818181818182,1.037037037037037,3.130434782608696,1,1,2.4133,2.1303,-12.408193765947534,4.96428571428571,4.91304347826087,4.96428571428571,3.46428571428571,4.11111111111111,0.1314429257187584,1.513294,3.091042,1.0986122886681098,0.6931471805599453,27.0,23.0,vagina,NN,NOUN
4,ANUS,anus,n,0.9240506329113924,71,5,75,7,0.0853658536585365,0.9342105263157896,1.3703703703703705,2.8181818181818183,1,1,1.7559,1.6232,-13.090414893957986,4.73076923076923,4.56,4.625,2.19230769230769,3.18181818181818,0.1151558410879556,1.575536,3.044522,1.6094379124341005,0.0,27.0,22.0,anus,NN,NOUN
5,NEMO,nemo,,0.9004739336492891,98,7,92,14,0.1320754716981132,0.9333333333333332,1.3461538461538465,0.05,0,0,2.4082,1.5315,-14.077741715410466,3.84615384615385,3.81481481481481,3.75862068965517,3.39285714285714,2.72727272727273,0.0808507757924577,0.348307,2.639057,,,26.0,20.0,nemo,NN,NOUN
6,BATTLESHIP,battleship,n,0.821656050955414,67,5,62,23,0.2705882352941176,0.9305555555555556,1.7142857142857142,1.4090909090909092,1,2,1.9445,1.8129,-13.647165487063427,4.73076923076923,4.84615384615385,4.79166666666667,2.57692307692308,4.22727272727273,0.0802288355648877,1.437067,2.079442,0.6931471805599453,0.6931471805599453,28.0,22.0,battleship,NN,NOUN
7,TAMPONS,tampons,n,0.9314285714285714,78,6,85,6,0.0659340659340659,0.9285714285714286,1.0714285714285714,0.5555555555555556,2,2,1.5798,1.5315,-15.318618485891646,4.7037037037037,4.625,4.69230769230769,2.03571428571429,2.04347826086957,0.0708229153732874,,,0.6931471805599453,0.6931471805599453,28.0,27.0,tampons,NNS,NOUN
8,MADONNA,madonna,n,0.93125,71,6,78,5,0.0602409638554216,0.922077922077922,2.1153846153846154,0.6666666666666666,2,7,2.4533,2.1239,-13.040895383231318,4.19230769230769,4.36,4.67857142857143,3.46428571428571,3.90909090909091,0.116629287693428,,,0.0,0.0,26.0,24.0,madonna,NN,NOUN
9,THREESOME,threesome,n,0.9171974522292994,70,6,74,7,0.0864197530864197,0.9210526315789472,1.5925925925925926,0.9130434782608696,2,22,2.0374,1.7634,-14.66824377425118,3.35714285714286,4.1304347826087,4.85714285714286,3.42857142857143,4.44444444444444,0.0856976586011488,,,0.0,0.0,27.0,23.0,threesome,NN,NOUN
10,PROSTITUTES,prostitutes,n,0.8741721854304636,68,6,64,13,0.1688311688311688,0.918918918918919,1.5714285714285714,3.863636363636364,2,13,2.1673,2.0294,-12.618813104505804,4.42307692307692,4.53846153846154,4.70833333333333,2.03846153846154,4.09090909090909,0.1188312837175009,1.998096,2.833213,0.6931471805599453,0.6931471805599453,28.0,22.0,prostitutes,NNS,NOUN
11,MONTGOMERY,montgomery,n,0.913793103448276,76,7,83,8,0.0879120879120879,0.9156626506024096,1.3846153846153846,0.1052631578947368,3,9,2.49,1.9777,-12.022423844904996,3.85185185185185,2.79166666666667,3.5,3.21428571428571,2.47826086956522,0.1093125447320661,2.084636,3.583519,0.0,0.0,26.0,19.0,montgomery,NN,NOUN
12,HELLHOLE,hellhole,n,0.9236111111111112,64,6,69,5,0.0675675675675675,0.9142857142857144,1.1851851851851851,2.782608695652174,1,6,1.8976,1.8573,-15.466497546459648,2.04,3.19230769230769,4.64285714285714,1.14285714285714,3.84,0.0892282026243402,,,0.0,0.0,27.0,23.0,hellhole,NN,NOUN
13,HOOTERS,hooters,n,0.8787878787878788,72,7,73,13,0.1511627906976744,0.9113924050632912,2.2758620689655173,2.56,3,17,2.0755,1.8261,-16.199409261460847,3.69230769230769,4.40740740740741,4.37931034482759,3.17241379310345,3.27272727272727,0.1020166961229513,,,1.6094379124341005,2.19722457733622,29.0,25.0,hooters,NNS,NOUN
14,GARGOYLES,gargoyles,n,0.90625,72,7,73,8,0.0987654320987654,0.9113924050632912,1.5185185185185186,0.8,2,2,1.3617,1.1461,-15.043805493564427,4.52,4.73076923076923,4.375,2.46153846153846,3.59090909090909,0.0962023382499178,,,0.6931471805599453,0.6931471805599453,27.0,20.0,gargoyles,NNS,NOUN
15,SOLOMON,solomon,n,0.8765432098765432,70,7,72,13,0.1529411764705882,0.9090909090909092,1.148148148148148,0.0434782608695652,1,1,2.1931,1.8195,-11.549141511022244,3.65384615384615,3.0,3.75862068965517,3.10344827586207,2.31818181818182,0.1082155831188949,2.327278,3.610918,0.0,0.0,27.0,23.0,solomon,NN,NOUN
16,HEMORRHAGING,hemorrhaging,v,0.8650306748466258,70,7,71,15,0.1744186046511628,0.9090909090909092,1.3333333333333333,1.6666666666666667,1,3,1.8451,1.7924,-15.33892108598683,3.24,3.75,4.44444444444444,1.14285714285714,4.25,0.0863077804423689,,,0.0,0.0,27.0,18.0,hemorrhaging,VBG,VERB
17,UNICORN,unicorn,n,0.9050632911392406,70,7,73,8,0.0987654320987654,0.9090909090909092,1.0769230769230769,0.08,1,1,2.1038,1.5798,-13.67098605950053,3.8,4.92,4.78571428571429,4.25,3.68181818181818,0.1294185679666638,0.916291,1.791759,0.6931471805599453,0.6931471805599453,26.0,25.0,unicorn,JJ,ADJ
18,YAHOO,yahoo,n,0.9325842696629212,78,8,88,4,0.0434782608695652,0.9069767441860463,1.9655172413793105,0.925925925925926,3,9,2.1761,1.9912,-14.251059739948277,3.15384615384615,2.96296296296296,4.68965517241379,3.44827586206897,3.5,0.096110379959649,,,0.0,0.0,29.0,27.0,yahoo,NN,NOUN
19,POTBELLY,potbelly,n,0.94,67,7,74,2,0.0263157894736842,0.9054054054054054,1.5384615384615383,1.8636363636363635,2,7,0.7782,0.7782,-16.242279753020846,3.5,4.53846153846154,4.58333333333333,2.38461538461538,2.5,0.0724173487704213,,,,,26.0,22.0,potbelly,RB,ADV
20,WOLVERINE,wolverine,n,0.884393063583815,75,8,78,12,0.1333333333333333,0.9036144578313252,1.9583333333333333,0.16,3,9,1.5185,1.1761,-14.883368622193515,4.5,4.48,4.67857142857143,3.14285714285714,4.45454545454545,0.0882109662654978,1.098612,1.609438,0.0,0.0,24.0,25.0,wolverine,NN,NOUN
21,PSST,psst,,0.9483870967741936,64,7,83,1,0.0119047619047619,0.9014084507042254,1.0,0.7142857142857143,0,0,2.4048,2.2504,-16.188895903709525,1.67857142857143,2.26086956521739,4.0,3.07142857142857,2.5,0.0508703094302782,,,,,19.0,14.0,psst,NN,NOUN
22,HEIL,heil,,0.9251700680272108,63,7,73,4,0.0519480519480519,0.9,1.2105263157894737,0.8571428571428571,0,0,2.2041,1.7076,-14.795322592261046,2.30769230769231,2.07407407407407,2.68965517241379,2.3448275862069,2.80952380952381,0.0451289553284958,,,,,19.0,14.0,heil,NN,NOUN
23,ENEMA,enema,n,0.8982035928143712,72,8,78,9,0.1034482758620689,0.9,1.125,0.4545454545454545,1,2,1.8633,1.7243,-14.208223252236849,4.34615384615385,3.88,4.17857142857143,1.46428571428571,2.59090909090909,0.0887918451871249,,,1.0986122886681098,0.6931471805599453,24.0,22.0,enema,NN,NOUN
24,BAGHDAD,baghdad,n,0.9151515151515152,71,8,80,6,0.0697674418604651,0.8987341772151899,1.0,0.1,1,3,1.8751,1.5441,-12.65284785632883,4.48,3.66666666666667,4.37037037037037,2.17857142857143,3.45,0.0863800559381426,1.276293,2.890372,0.0,0.0,27.0,20.0,baghdad,NN,NOUN
25,GPS,gps,n,0.944055944055944,62,7,73,1,0.0135135135135135,0.8985507246376812,1.1111111111111112,0.6666666666666666,1,2,2.1239,1.9294,-12.062128723319132,4.30769230769231,3.57692307692308,4.70833333333333,3.48,2.72727272727273,0.0732368703919995,,,,,27.0,21.0,gps,NN,NOUN
26,WOO,woo,v,0.8555555555555555,78,9,76,17,0.1827956989247312,0.896551724137931,1.5454545454545454,2.1818181818181817,2,6,2.5366,2.2765,-13.179310449492789,1.88461538461538,1.48,4.0,4.0,3.5,0.1180248056694923,1.998096,2.302585,2.995732273553991,3.8501476017100575,22.0,22.0,woo,NN,NOUN
27,WETBACK,wetback,n,0.922077922077922,67,8,75,4,0.050632911392405,0.8933333333333333,1.1666666666666667,1.4,1,3,1.3979,1.2788,-16.68779657078723,2.74074074074074,3.29166666666667,3.92307692307692,1.42857142857143,3.45454545454545,0.0615939890730012,,,0.6931471805599453,0.6931471805599453,24.0,20.0,wetback,NN,NOUN
28,BRAINWASHED,brainwashed,v,0.8441558441558441,65,8,65,16,0.1975308641975308,0.8904109589041096,1.1851851851851851,1.1666666666666667,3,3,1.9345,1.8513,-14.779493138947249,2.17857142857143,2.39130434782609,4.96428571428571,1.5,3.66666666666667,0.1038111741788174,,,0.0,0.6931471805599453,27.0,24.0,brainwashed,VBN,VERB
29,SHH,shh,,0.9223300970873788,87,11,103,5,0.0462962962962962,0.8877551020408163,1.12,1.8235294117647056,0,0,3.4489,3.0955,-13.644481064352624,1.92,2.11538461538462,4.03703703703704,2.53571428571429,1.84,0.0728096386753269,,,,,25.0,17.0,shh,NN,NOUN
30,LUPUS,lupus,n,0.8839779005524862,77,10,83,11,0.1170212765957446,0.8850574712643678,1.1111111111111112,0.0909090909090909,2,2,1.9494,1.2553,-12.969355869450778,3.60714285714286,2.43478260869565,3.92857142857143,1.32142857142857,3.05555555555556,0.0672983229525349,,,0.0,0.6931471805599453,27.0,22.0,lupus,NN,NOUN
31,BOOMERANG,boomerang,n,0.8418079096045198,76,10,73,18,0.1978021978021978,0.8837209302325582,1.6538461538461535,0.3478260869565217,3,6,1.6812,1.4624,-14.492374809136807,4.67857142857143,4.8695652173913,4.78571428571429,3.17857142857143,3.44444444444444,0.0977881776017989,1.178655,1.386294,0.0,0.0,26.0,23.0,boomerang,NN,NOUN
32,EISENHOWER,eisenhower,n,0.9318181818181818,53,7,70,2,0.0277777777777777,0.8833333333333333,1.0344827586206895,0.0476190476190476,1,6,2.1644,1.9138,-12.353802436699382,4.33333333333333,4.11111111111111,4.2962962962963,3.48148148148148,2.54166666666667,0.0829965071631721,1.839226,4.290459,0.0,0.0,29.0,21.0,eisenhower,NN,NOUN
33,MANNEQUIN,mannequin,n,0.8538461538461538,53,7,58,12,0.1714285714285714,0.8833333333333333,1.1111111111111112,1.0869565217391304,2,11,1.7993,1.6128,-14.63837300606951,4.85714285714286,4.8695652173913,4.74074074074074,2.92857142857143,1.94444444444444,0.0980159753893079,,,0.6931471805599453,0.6931471805599453,27.0,23.0,mannequin,NN,NOUN
34,BIKINI,bikini,n,0.9272727272727272,68,9,85,3,0.034090909090909,0.8831168831168831,1.2592592592592593,1.7272727272727273,2,3,2.2765,2.1271,-13.445627823294704,4.52,4.79166666666667,5.0,4.17857142857143,4.4,0.1002214251346848,,,1.0986122886681098,0.6931471805599453,27.0,22.0,bikini,NN,NOUN
35,COCCYX,coccyx,n,0.9375,67,9,83,1,0.0119047619047619,0.881578947368421,1.0,0.5714285714285714,1,2,0.9031,0.9031,-15.20086406575563,3.92,3.18518518518519,2.44444444444444,2.96296296296296,2.66666666666667,0.0469414793589456,,,,,19.0,14.0,coccyx,NN,NOUN
36,ALZHEIMER,alzheimer,,0.9090909090909092,74,10,86,6,0.0652173913043478,0.8809523809523809,1.0384615384615383,0.2307692307692307,0,0,1.9345,1.7404,-11.939127143340729,2.92592592592593,2.58333333333333,4.46153846153846,1.17857142857143,2.95652173913043,0.0596372800476588,,,0.0,0.0,26.0,26.0,alzheimer,NN,NOUN
37,PUSSYFOOT,pussyfoot,v,0.91875,66,9,81,4,0.0470588235294117,0.88,1.4,2.0,1,4,0.9031,0.9031,-17.36187643048656,2.04,2.07407407407407,3.89655172413793,2.3448275862069,2.63636363636364,0.0747208135751721,,,,,25.0,20.0,pussyfoot,NN,NOUN
38,DIVA,diva,n,0.8854166666666666,80,11,90,11,0.1089108910891089,0.8791208791208791,1.5555555555555556,2.586206896551724,1,2,1.8976,1.4472,-14.248228600058097,3.12,3.53571428571429,4.6,2.53571428571429,3.95833333333333,0.1020050409916629,,,1.0986122886681098,1.0986122886681098,27.0,29.0,diva,NN,NOUN
39,KNUCKLEHEADS,knuckleheads,n,0.890625,80,11,91,10,0.099009900990099,0.8791208791208791,1.0740740740740742,2.347826086956522,1,13,1.4314,1.415,-17.248299246549397,2.39285714285714,3.1304347826087,4.67857142857143,2.14285714285714,3.38888888888889,0.0890895829560065,,,0.6931471805599453,0.0,27.0,23.0,knuckleheads,NNS,NOUN
40,BATMAN,batman,n,0.92,64,9,74,3,0.0389610389610389,0.8767123287671232,1.0384615384615383,0.3333333333333333,1,1,2.3802,1.9638,-13.329537742493043,4.57142857142857,5.0,4.89285714285714,3.92857142857143,3.88888888888889,0.109510157393937,,,1.791759469228055,0.0,26.0,24.0,batman,NN,NOUN
41,LINGERIE,lingerie,n,0.868421052631579,64,9,68,11,0.1392405063291139,0.8767123287671232,1.0,2.0,1,2,2.1614,2.0682,-14.007726215702307,4.6,4.80769230769231,4.85714285714286,3.92857142857143,4.41666666666667,0.0841215398336077,,,0.0,0.0,28.0,23.0,lingerie,NN,NOUN
42,FATTY,fatty,n,0.9053254437869822,71,10,82,6,0.0681818181818181,0.8765432098765432,1.8888888888888888,2.391304347826087,2,7,2.4166,2.1206,-11.281586225503368,2.92857142857143,3.95652173913043,4.85714285714286,1.71428571428571,2.83333333333333,0.092532363580974,2.125251,3.970292,1.6094379124341005,2.3978952727983707,27.0,23.0,fatty,NN,NOUN
43,NAPA,napa,n,0.8552631578947368,63,9,67,13,0.1625,0.875,1.4074074074074074,0.1764705882352941,1,5,1.699,1.4314,-14.262957961957625,3.92307692307692,2.88888888888889,3.62068965517241,3.24137931034483,2.40909090909091,0.0821261372363423,,,1.791759469228055,1.3862943611198906,27.0,17.0,napa,NN,NOUN
44,MANHATTAN,manhattan,n,0.9036144578313252,70,10,80,6,0.0697674418604651,0.875,1.5714285714285714,0.4583333333333333,2,2,2.7987,2.5821,-12.078269152982877,4.29166666666667,4.42307692307692,4.67857142857143,3.35714285714286,4.0,0.1180251652069063,2.636077,4.317488,0.0,0.0,28.0,24.0,manhattan,NN,NOUN
45,MASTIFF,mastiff,n,0.8702702702702703,77,11,84,13,0.134020618556701,0.875,1.0434782608695652,0.4166666666666667,1,1,0.8451,0.8451,-15.312453540843052,4.37037037037037,4.0,4.23076923076923,3.32142857142857,3.43478260869565,0.0804199017842872,,,,,23.0,24.0,mastiff,NN,NOUN
46,DIKE,dike,n,0.8962962962962963,56,8,65,6,0.0845070422535211,0.875,1.52,1.809523809523809,3,8,1.3424,1.0792,-14.103206623625184,3.76923076923077,3.42307692307692,3.625,2.76923076923077,2.85714285714286,0.0879424685761647,1.625967,2.302585,2.8903717578961645,3.5263605246161616,25.0,21.0,dike,NN,NOUN
47,MANUFACTURING,manufacturing,n,0.8181818181818182,69,10,66,20,0.2325581395348837,0.8734177215189873,1.2962962962962965,2.6206896551724137,5,13,1.9395,1.8633,-10.398441987932491,2.96,3.28571428571429,4.96666666666667,3.17857142857143,2.375,0.0659365252358484,2.935628,5.758902,0.0,0.0,27.0,29.0,manufacturing,NN,NOUN
48,LOONY,loony,n,0.8727272727272727,69,10,75,11,0.127906976744186,0.8734177215189873,1.5517241379310345,4.0,2,28,2.0934,2.0294,-14.988405013462405,1.69230769230769,2.51851851851852,4.44827586206897,2.37931034482759,3.72727272727273,0.1220416641257398,,,1.3862943611198906,2.19722457733622,29.0,26.0,loony,NN,NOUN
49,STRAIGHTJACKET,straightjacket,n,0.902439024390244,69,10,79,6,0.0705882352941176,0.8734177215189873,1.148148148148148,0.5517241379310345,1,2,0.9031,0.8451,-16.180015079467488,4.68,4.82142857142857,4.55172413793103,1.60714285714286,4.25,0.0818321912466641,,,,,27.0,29.0,straightjacket,NN,NOUN
50,EXORCISM,exorcism,n,0.9111111111111112,75,11,89,5,0.0531914893617021,0.872093023255814,1.1851851851851851,0.5454545454545454,1,2,1.9823,1.4771,-14.120939592531537,2.24,3.57692307692308,4.66666666666667,1.5,4.40909090909091,0.0877196931409553,,,1.0986122886681098,0.0,27.0,22.0,exorcism,NN,NOUN
51,HOODIE,hoodie,,0.8780487804878049,68,10,76,10,0.1162790697674418,0.8717948717948718,1.2692307692307692,1.619047619047619,0,0,1.0414,0.9542,-14.355465821555208,4.72,4.88461538461539,4.875,3.5,2.22727272727273,0.0813605480187059,,,,,26.0,21.0,hoodie,NN,NOUN
52,CONCESSION,concession,n,0.7702702702702703,61,9,53,25,0.3205128205128205,0.8714285714285714,1.8571428571428568,2.458333333333333,3,6,1.8451,1.7709,-12.467298511284994,2.44,2.69230769230769,4.75,3.11111111111111,2.72,0.0941615397602393,2.474435,2.890372,1.3862943611198906,1.3862943611198906,28.0,24.0,concession,NN,NOUN
53,DOMINATRIX,dominatrix,n,0.917098445595855,81,12,96,4,0.04,0.8709677419354839,1.0,0.7619047619047619,1,1,1.3617,1.2553,-15.5523824879135,3.84,4.44444444444444,3.92592592592593,2.51851851851852,4.5,0.0764877794311452,,,0.0,0.0,27.0,21.0,dominatrix,NN,NOUN
54,YEN,yen,n,0.8983050847457628,74,11,85,7,0.0760869565217391,0.8705882352941177,1.2916666666666667,0.9047619047619048,3,8,2.4955,2.0,-12.725334726486054,3.65384615384615,3.53846153846154,3.83333333333333,3.4,2.71428571428571,0.0557977788470447,1.321756,2.484907,3.091042453358316,3.295836866004329,24.0,21.0,yen,NN,NOUN
