,word_upper,word_lower,pos,acc,hits,misses,correct.rejections,false.alarms,# meanings (human),# synonyms (human),# meanings (Wordnet),# synonyms (Wordnet),Subtlex frequency,Log Subtlex frequency,Subtlex CD,Log Subtlex CD,Arousal,Concreteness,Familiarity,Imageability,Valence,GloVe distinctiveness,# subjects (human) meanings,1/# meanings (human),# subjects (human) synonyms,# synonyms (human) + 1,1/# synonyms (human),false.alarm.rate,hit.rate
0,ABBY,abby,,0.8713450292397661,67,15,82,7,1.59090909090909,0.31818181818181795,0,0,12.49,2.8048,1.22,2.0128,2.47368421052632,3.4285714285714306,3.6551724137931,3.12,3.5,0.09146891082166377,22,0.628571428571429,22,1.318181818181818,0.7586206896551726,0.07865168539325842,0.8170731707317073
1,ABDUCTION,abduction,n,0.7777777777777778,53,20,66,14,1.22222222222222,1.8695652173913,2,2,3.63,2.2695,1.32,2.0492,4.16666666666667,2.89285714285714,4.89655172413793,3.24,1.25,0.08497891954835445,27,0.8181818181818196,23,2.8695652173913,0.348484848484849,0.175,0.726027397260274
2,ABIDE,abide,v,0.7633136094674556,51,32,78,8,1.37931034482759,2.7407407407407405,2,15,2.71,2.143,1.48,2.0969,2.09090909090909,2.1111111111111103,4.48275862068965,1.37931034482759,3.13793103448276,0.1076082575412508,29,0.7249999999999979,27,3.740740740740741,0.2673267326732674,0.09302325581395347,0.6144578313253012
3,ABIGAIL,abigail,,0.8333333333333334,62,21,83,8,1.0,0.294117647058824,0,0,3.02,2.1903,0.51,1.6435,2.7272727272727297,3.5,4.13333333333333,2.4583333333333304,3.44827586206897,0.07811374598089395,25,1.0,17,1.294117647058824,0.7727272727272724,0.08791208791208792,0.7469879518072289
4,ABJECT,abject,s,0.8024691358024691,46,28,84,4,1.16,2.125,4,10,0.39,1.3222,0.24,1.3222,3.0,2.0,3.39285714285714,1.28571428571429,2.46153846153846,0.1313404108703505,25,0.8620689655172414,16,3.125,0.32,0.045454545454545456,0.6216216216216216
5,ABNER,abner,,0.8404907975460123,54,24,83,2,1.05555555555556,0.0833333333333333,0,0,3.37,2.238,0.19,1.2304,2.45454545454545,2.84615384615385,2.7241379310344795,2.0416666666666696,2.931034482758621,0.034286595609298094,18,0.9473684210526276,12,1.0833333333333333,0.9230769230769232,0.023529411764705882,0.6923076923076923
6,ABROAD,abroad,s,0.7345679012345679,47,30,72,13,1.31034482758621,1.6521739130434798,4,7,4.9,2.3997,2.42,2.3096,3.7916666666666696,2.73076923076923,4.62962962962963,2.60714285714286,3.81481481481481,0.11157798647973717,29,0.7631578947368404,23,2.6521739130434803,0.37704918032786855,0.15294117647058825,0.6103896103896104
7,ABSENT,absent,v,0.7010869565217391,50,40,79,15,1.40740740740741,2.57692307692308,4,11,2.57,2.1206,1.32,2.0492,1.90909090909091,2.57692307692308,4.888888888888889,2.24,2.31034482758621,0.14591617811733798,27,0.7105263157894723,26,3.57692307692308,0.27956989247311803,0.1595744680851064,0.5555555555555556
8,ABSOLVE,absolve,v,0.7588652482269503,38,30,69,4,1.24,2.60869565217391,2,5,0.57,1.4771,0.3,1.415,3.04545454545455,1.53846153846154,4.28571428571429,1.25,3.5,0.0919805014525681,25,0.8064516129032259,23,3.60869565217391,0.27710843373494,0.0547945205479452,0.5588235294117647
9,ABUNDANTLY,abundantly,r,0.72,52,46,92,10,1.18518518518519,2.75,1,4,0.41,1.3424,0.25,1.3424,2.95454545454545,1.88461538461538,4.75862068965517,2.0,4.03448275862069,0.13003513127209004,27,0.8437499999999966,20,3.75,0.26666666666666666,0.09803921568627452,0.5306122448979592
10,ACADEMIC,academic,n,0.7544910179640718,53,27,73,14,1.3703703703703702,2.44827586206897,4,8,4.67,2.3784,2.16,2.2601,2.9583333333333304,2.67857142857143,4.93103448275862,2.25,3.86206896551724,0.0876804012650159,27,0.7297297297297299,29,3.44827586206897,0.2899999999999996,0.16091954022988506,0.6625
11,ACCOMPLICE,accomplice,n,0.7455621301775148,47,32,79,11,1.27586206896552,2.57692307692308,1,2,4.24,2.3365,1.75,2.1703,3.5,3.24,4.6551724137931,2.75862068965517,2.31034482758621,0.11096302182979724,29,0.7837837837837821,26,3.57692307692308,0.27956989247311803,0.12222222222222222,0.5949367088607594
12,ACCUMULATING,accumulating,v,0.69375,42,35,69,14,1.18518518518519,2.6666666666666696,2,13,0.35,1.2788,0.21,1.2788,2.86363636363636,2.1923076923076903,4.9,2.1666666666666696,3.24137931034483,0.11280111750338112,27,0.8437499999999966,21,3.6666666666666696,0.2727272727272725,0.1686746987951807,0.5454545454545454
13,ACCURACY,accuracy,n,0.7852760736196319,60,19,68,16,1.2,1.7826086956521698,2,3,1.49,1.8865,0.77,1.8195,2.95652173913043,2.34615384615385,4.75,1.88888888888889,4.25925925925926,0.06509891151298683,30,0.8333333333333334,23,2.7826086956521703,0.35937500000000044,0.19047619047619047,0.7594936708860759
14,ACHIEVEMENTS,achievements,n,0.7616580310880829,64,26,83,20,1.18518518518519,2.1304347826087,1,2,1.08,1.7482,0.62,1.7243,4.2222222222222205,2.5,4.96551724137931,2.625,4.75862068965517,0.06266886532038643,27,0.8437499999999966,23,3.1304347826087,0.31944444444444403,0.1941747572815534,0.7111111111111111
15,ACRE,acre,n,0.7882352941176469,55,26,79,10,1.12,0.307692307692308,3,6,1.82,1.9731,0.66,1.7482,2.68181818181818,4.38461538461539,4.77777777777778,3.48,3.39285714285714,0.049198694642528636,25,0.8928571428571428,26,1.307692307692308,0.7647058823529409,0.11235955056179776,0.6790123456790124
16,ACT,act,n,0.7456647398843931,51,33,78,11,2.57142857142857,3.91304347826087,15,36,109.12,3.7455,36.79,3.4895,2.96,2.8518518518518503,5.0,2.4,3.44827586206897,0.1442055279872619,28,0.3888888888888891,23,4.91304347826087,0.20353982300884954,0.12359550561797752,0.6071428571428571
17,ADDITION,addition,n,0.7297297297297297,44,44,91,6,2.06896551724138,2.0454545454545503,6,13,7.75,2.5977,4.3,2.5587,2.875,2.88461538461538,4.8461538461538485,3.0,3.51851851851852,0.0920866269215134,29,0.4833333333333332,22,3.04545454545455,0.3283582089552234,0.061855670103092786,0.5
18,ADORABLE,adorable,s,0.8055555555555556,49,21,67,7,1.39285714285714,4.27272727272727,1,3,10.53,2.7308,5.2,2.6405,3.68181818181818,1.80769230769231,4.92307692307692,3.2592592592592595,4.730769230769232,0.098160858070606,28,0.7179487179487195,22,5.27272727272727,0.1896551724137932,0.0945945945945946,0.7
19,ADULTS,adults,n,0.8571428571428571,52,14,68,6,1.22222222222222,2.24137931034483,2,3,9.57,2.6893,4.9,2.6149,2.9166666666666696,4.0,4.966666666666669,4.2222222222222205,3.37931034482759,0.09932615952647032,27,0.8181818181818196,29,3.24137931034483,0.3085106382978721,0.08108108108108109,0.7878787878787878
20,ADVANTAGES,advantages,n,0.6863905325443787,39,43,77,10,1.57142857142857,2.82608695652174,4,6,2.82,2.1614,1.48,2.0969,3.54545454545455,1.68,4.888888888888889,1.77777777777778,4.42307692307692,0.09848005517166238,28,0.6363636363636369,23,3.82608695652174,0.2613636363636363,0.11494252873563215,0.47560975609756106
21,ADVERSITY,adversity,n,0.7666666666666667,58,26,80,16,1.29166666666667,2.6153846153846203,2,4,1.06,1.7404,0.57,1.6902,4.0,1.69230769230769,4.82758620689655,1.64,2.13793103448276,0.12019464067929438,24,0.7741935483870948,26,3.61538461538462,0.27659574468085074,0.16666666666666666,0.6904761904761905
22,AEROSPACE,aerospace,n,0.8212290502793296,59,29,88,3,1.2,0.5416666666666671,1,1,1.08,1.7482,0.41,1.5441,4.0454545454545485,3.03846153846154,4.703703703703701,2.52,3.55172413793103,0.05662094657197163,25,0.8333333333333334,24,1.541666666666667,0.6486486486486486,0.03296703296703297,0.6704545454545454
23,AFFIDAVIT,affidavit,n,0.8765432098765432,66,11,76,9,1.14814814814815,1.3,1,1,1.96,2.0043,0.76,1.8129,2.95454545454545,3.77777777777778,4.06666666666667,2.7916666666666696,2.3448275862069,0.06794639119485897,27,0.8709677419354825,20,2.3,0.4347826086956522,0.10588235294117647,0.8571428571428571
24,AFFORD,afford,v,0.6708860759493671,29,48,77,4,1.64285714285714,2.2916666666666696,4,8,44.43,3.3555,19.67,3.2177,2.84,2.28571428571429,5.0,1.6,3.68965517241379,0.13930658946603894,28,0.6086956521739141,24,3.2916666666666696,0.3037974683544301,0.04938271604938271,0.37662337662337664
25,AFT,aft,a,0.84,53,17,73,7,1.15384615384615,2.25,2,4,3.53,2.2577,1.23,2.017,2.0833333333333304,2.81481481481481,3.3333333333333304,1.92857142857143,3.03703703703704,0.07658874931678912,13,0.8666666666666696,16,3.25,0.3076923076923077,0.0875,0.7571428571428571
26,AFTERNOONS,afternoons,n,0.7947019867549668,43,29,77,2,1.07407407407407,1.3636363636363602,2,3,1.98,2.0086,1.07,1.959,2.59090909090909,3.11538461538462,5.0,2.30434782608696,4.0,0.09363663213734093,27,0.9310344827586242,22,2.3636363636363598,0.4230769230769238,0.02531645569620253,0.5972222222222222
27,AFTERWARD,afterward,r,0.6907894736842105,35,37,70,10,1.14814814814815,2.05,1,6,2.2,2.0531,1.24,2.0212,2.19047619047619,2.1111111111111103,5.0,1.4583333333333302,3.0689655172413794,0.16657002911981153,27,0.8709677419354825,20,3.05,0.3278688524590164,0.125,0.4861111111111111
28,AGGIE,aggie,,0.8226600985221675,62,32,105,4,1.16666666666667,0.181818181818182,0,0,2.08,2.0294,0.15,1.1461,2.6666666666666696,2.56,2.3333333333333304,2.1153846153846203,3.19230769230769,0.08002850006896148,18,0.8571428571428547,11,1.181818181818182,0.8461538461538459,0.03669724770642202,0.6595744680851063
29,AHAB,ahab,n,0.8333333333333334,62,20,78,8,1.08333333333333,0.0,1,1,0.8,1.6232,0.29,1.3979,2.625,2.9615384615384603,2.32142857142857,2.89285714285714,2.96296296296296,0.03994977806085944,12,0.923076923076926,11,1.0,1.0,0.09302325581395347,0.7560975609756098
30,AHOY,ahoy,,0.8505747126436781,68,14,80,12,1.25925925925926,1.85714285714286,0,0,3.71,2.2788,1.17,1.9956,3.625,2.60714285714286,4.33333333333333,2.0714285714285703,3.62068965517241,0.05740716668769694,27,0.7941176470588229,28,2.8571428571428603,0.3499999999999996,0.13043478260869565,0.8292682926829268
31,AIRBAG,airbag,,0.7763975155279503,47,30,78,6,1.3703703703703702,0.482758620689655,0,0,0.39,1.3222,0.17,1.1761,3.0,4.53571428571429,4.93103448275862,4.67857142857143,3.13793103448276,0.04496618242291845,27,0.7297297297297299,29,1.482758620689655,0.6744186046511629,0.07142857142857142,0.6103896103896104
32,AIRCRAFT,aircraft,n,0.7379679144385026,50,40,88,9,1.07692307692308,1.77777777777778,1,1,9.45,2.6839,2.49,2.3222,3.54545454545455,4.769230769230768,4.89285714285714,4.75,3.2758620689655205,0.07190208773848036,26,0.9285714285714259,27,2.77777777777778,0.3599999999999997,0.09278350515463918,0.5555555555555556
33,AIRS,airs,n,0.7530864197530864,45,34,77,6,1.64,1.54545454545455,16,44,0.76,1.6021,0.44,1.5798,2.7727272727272703,2.0,4.37037037037037,1.52,3.03703703703704,0.03685886693774287,25,0.6097560975609756,22,2.5454545454545503,0.3928571428571421,0.07228915662650602,0.569620253164557
34,AKRON,akron,n,0.8757763975155279,60,16,81,4,1.0,0.0555555555555556,1,1,0.75,1.5911,0.21,1.2788,2.1111111111111103,3.60714285714286,3.1724137931034497,2.84,3.10714285714286,0.10444053090324616,19,1.0,18,1.0555555555555556,0.9473684210526316,0.047058823529411764,0.7894736842105263
35,ALARMS,alarms,n,0.7142857142857143,42,41,83,9,1.74074074074074,1.7142857142857095,6,19,3.08,2.1987,1.34,2.0531,4.0,3.88461538461538,4.966666666666669,3.5416666666666696,2.03448275862069,0.07881309895689571,27,0.5744680851063833,21,2.71428571428571,0.3684210526315795,0.09782608695652174,0.5060240963855421
36,ALASKA,alaska,n,0.8863636363636364,52,12,65,3,1.06666666666667,0.272727272727273,1,3,4.37,2.3502,1.62,2.1367,2.9583333333333304,4.38461538461539,4.75,4.46428571428571,3.6666666666666696,0.11690606906761099,30,0.9374999999999972,22,1.272727272727273,0.7857142857142856,0.04411764705882353,0.8125
37,ALBANIAN,albanian,n,0.8105263157894737,62,29,92,7,1.06896551724138,0.0476190476190476,3,3,0.98,1.7076,0.14,1.1139,2.5,3.80769230769231,3.88888888888889,3.22222222222222,3.12,0.07698350716696438,29,0.9354838709677414,21,1.0476190476190477,0.9545454545454544,0.0707070707070707,0.6813186813186813
38,ALBUQUERQUE,albuquerque,n,0.8670886075949367,62,14,75,7,1.1,0.0476190476190476,1,1,2.49,2.1072,0.72,1.7853,2.60869565217391,4.34615384615385,4.53571428571429,3.59259259259259,3.34615384615385,0.10726092975875036,30,0.9090909090909092,21,1.0476190476190477,0.9545454545454544,0.08536585365853659,0.8157894736842105
39,ALIBIS,alibis,n,0.8291139240506329,50,25,81,2,1.11538461538462,1.58823529411765,3,6,1.14,1.7709,0.6,1.7076,3.2608695652173902,2.57692307692308,3.78571428571429,1.7142857142857095,3.0,0.0678043333267779,26,0.8965517241379273,17,2.5882352941176503,0.3863636363636359,0.024096385542168683,0.6666666666666666
40,ALLOTTED,allotted,v,0.7430167597765364,49,37,84,9,1.21428571428571,2.9583333333333304,4,19,0.27,1.1761,0.17,1.1761,2.12,2.25,4.85714285714286,1.4333333333333302,3.03448275862069,0.09446928571414602,28,0.8235294117647088,24,3.9583333333333295,0.25263157894736865,0.0967741935483871,0.5697674418604651
41,ALMOST,almost,r,0.6568047337278107,40,43,71,15,1.11111111111111,2.0416666666666696,1,8,193.27,3.9938,59.01,3.6947,2.4210526315789505,1.57142857142857,4.96551724137931,1.56,2.8275862068965503,0.1650135042266882,27,0.9000000000000009,24,3.0416666666666696,0.3287671232876709,0.1744186046511628,0.4819277108433735
42,ALPHANUMERIC,alphanumeric,a,0.8368794326241135,47,21,71,2,1.0,0.5,1,4,0.1,0.7782,0.05,0.6990000000000001,2.4583333333333304,3.4285714285714306,4.4,2.85714285714286,3.13793103448276,0.03118001760046214,26,1.0,28,1.5,0.6666666666666666,0.0273972602739726,0.6911764705882353
43,ALREADY,already,r,0.7278106508875741,45,33,78,13,1.07142857142857,1.14285714285714,1,1,318.55,4.2108,75.7,3.8028,2.47826086956522,1.6896551724137898,4.89285714285714,1.32,3.03571428571429,0.13796126025743216,28,0.9333333333333346,28,2.14285714285714,0.4666666666666674,0.14285714285714285,0.5769230769230769
44,ALZHEIMER,alzheimer,,0.9090909090909092,74,10,86,6,1.03846153846154,0.23076923076923106,0,0,1.67,1.9345,0.64,1.7404,2.95652173913043,3.03448275862069,4.481481481481481,2.6,1.17241379310345,0.05963728004765888,26,0.9629629629629616,26,1.230769230769231,0.8124999999999998,0.06521739130434782,0.8809523809523809
45,AMALGAM,amalgam,n,0.8108108108108109,59,30,91,5,1.16666666666667,0.941176470588235,2,3,0.18,1.0,0.06,0.7782,2.55555555555556,2.53571428571429,3.2758620689655205,2.04,2.85714285714286,0.09811270155631646,18,0.8571428571428547,17,1.941176470588235,0.5151515151515152,0.052083333333333336,0.6629213483146067
46,AMISH,amish,n,0.8674033149171271,69,15,88,9,1.15384615384615,0.04,1,1,1.76,1.959,0.55,1.6721,2.18181818181818,3.73076923076923,4.55172413793103,4.4,3.44827586206897,0.11831277062034212,26,0.8666666666666696,25,1.04,0.9615384615384616,0.09278350515463918,0.8214285714285714
47,AMONG,among,,0.6257668711656442,22,56,80,5,1.2,2.23076923076923,0,0,33.9,3.238,15.18,3.1052,2.5,2.1923076923076903,4.82758620689655,1.8,3.28571428571429,0.10291095377450744,25,0.8333333333333334,26,3.23076923076923,0.3095238095238096,0.05882352941176471,0.28205128205128205
48,AMPUTATE,amputate,v,0.7861271676300579,60,25,76,12,1.08,1.69230769230769,1,2,0.86,1.6532,0.48,1.6128,4.09090909090909,3.96153846153846,4.86206896551724,4.04,1.20689655172414,0.08896247054046677,25,0.9259259259259258,26,2.69230769230769,0.3714285714285718,0.13636363636363635,0.7058823529411765
49,AN,an,n,0.8625,58,18,80,4,1.10344827586207,0.2,1,2,1864.14,4.9781,98.77,3.9183,1.81818181818182,2.2592592592592595,4.79310344827586,1.10344827586207,3.0,0.10262967986817008,29,0.9062499999999992,25,1.2,0.8333333333333334,0.047619047619047616,0.7631578947368421
50,ANATOMY,anatomy,n,0.75,38,19,55,12,1.14814814814815,1.04545454545455,3,17,3.2,2.2148,1.49,2.1004,3.05555555555556,3.2962962962963,4.89655172413793,3.44,3.28571428571429,0.1062873915370668,27,0.8709677419354825,22,2.0454545454545503,0.4888888888888877,0.1791044776119403,0.6666666666666666
51,ANEURYSM,aneurysm,n,0.9108280254777072,62,12,81,2,1.11538461538462,0.5,1,2,1.98,2.0086,0.85,1.8573,4.27272727272727,3.84615384615385,3.92592592592593,2.8518518518518503,1.23076923076923,0.057209472892512075,26,0.8965517241379273,22,1.5,0.6666666666666666,0.024096385542168683,0.8378378378378378
52,ANEW,anew,r,0.7882352941176469,46,34,88,2,1.15384615384615,1.61904761904762,1,2,0.86,1.6532,0.49,1.6232,3.27777777777778,1.64285714285714,4.24137931034483,1.68,3.86206896551724,0.14501584525543254,26,0.8666666666666696,21,2.61904761904762,0.3818181818181817,0.022222222222222227,0.575
53,ANGUS,angus,n,0.91875,72,4,75,9,1.64,0.5,2,7,4.08,2.3201,0.52,1.6532,3.2272727272727297,3.57692307692308,4.071428571428569,2.84,3.20689655172414,0.07729005290561748,25,0.6097560975609756,22,1.5,0.6666666666666666,0.10714285714285714,0.9473684210526316
54,ANNA,anna,n,0.8658536585365854,59,19,83,3,1.125,0.0434782608695652,1,1,34.08,3.2403,3.2,2.4298,2.44444444444444,3.35714285714286,4.24137931034483,2.88,3.4285714285714306,0.1093314041974172,24,0.8888888888888888,23,1.0434782608695652,0.9583333333333334,0.034883720930232565,0.7564102564102564
