,word_upper,word_lower,word_lower_no_article,article,syntactic_category,category,subcategory_1,subcategory_2,subcategory_3,acc,hits,misses,correct_rejections,false_alarms,false_alarm_rate,hit_rate,# meanings (human),# synonyms (human),Log Subtlex frequency,Log Subtlex CD,Google n-gram frequency,Concreteness,Imageability,Familiarity,Valence,Arousal,num_ratings_meanings,num_ratings_synonyms,multi_word
0,TESTY,testy,testy,,ADJ,,,,,0.7674418604651163,49,32,83,8,0.0879120879120879,0.6049382716049383,1.3103448275862069,3.28,1.699,1.6335,-15.01439019326011,1.58620689655172,1.73076923076923,4.2,2.08,3.59090909090909,29.0,25.0,0.0
1,VALUABLE,valuable,valuable,,ADJ,,,,,0.6445783132530121,32,47,75,12,0.1379310344827586,0.4050632911392405,1.2413793103448276,3.5384615384615383,2.9009,2.8248,-10.405319636604904,1.58620689655172,2.30769230769231,4.7,4.56,3.72727272727273,29.0,26.0,0.0
2,TO FAX,to fax,fax,to,VERB,,,,,0.8378378378378378,48,22,76,2,0.0256410256410256,0.6857142857142857,1.0344827586206895,0.6153846153846154,2.5539,2.3636,-16.558364290137355,3.75862068965517,3.84615384615385,4.8,2.95833333333333,2.0,29.0,26.0,1.0
3,IRATE,irate,irate,,ADJ,,,,,0.7797619047619048,47,34,84,3,0.0344827586206896,0.5802469135802469,1.1666666666666667,3.72,1.5051,1.4914,-14.173767312483744,1.82758620689655,2.69230769230769,4.46666666666667,1.48,4.5,30.0,25.0,0.0
4,A FOREARM,a forearm,forearm,a,NOUN,human body,external,,,0.8300653594771242,47,23,80,3,0.036144578313253,0.6714285714285714,1.0666666666666669,0.5833333333333334,1.7076,1.6232,-16.239910547183754,4.71428571428571,4.65384615384615,4.76666666666667,3.04,2.36363636363636,30.0,24.0,1.0
5,DRACONIAN,draconian,draconian,,ADJ,,,,,0.8851351351351351,53,14,78,3,0.037037037037037,0.7910447761194029,1.125,3.05,0.9031,0.8451,-14.333386396593934,1.79310344827586,1.69230769230769,3.0,1.88,3.0,24.0,20.0,0.0
6,A POLLSTER,a pollster,pollster,a,NOUN,people,Politics,,,0.7802197802197802,50,36,92,4,0.0416666666666666,0.5813953488372093,1.1363636363636365,1.0952380952380951,,,-17.90804886247484,3.41379310344828,2.30769230769231,3.6,2.72,2.13636363636364,22.0,21.0,1.0
7,A SUCCESSOR,a successor,successor,a,NOUN,people,Politics,,,0.7302631578947368,44,26,67,15,0.1829268292682926,0.6285714285714286,1.2758620689655171,2.230769230769231,1.9345,1.8325,-14.140371825427389,2.79310344827586,1.76,4.36666666666667,3.28,2.54545454545455,29.0,26.0,1.0
8,AN ALLEN WRENCH,an allen wrench,allen wrench,an,NOUN,tool,,,,0.8712121212121212,54,10,61,7,0.1029411764705882,0.84375,1.1428571428571428,0.4,,,-18.881986226225333,4.82758620689655,4.88461538461539,4.26666666666667,3.16,2.22727272727273,28.0,25.0,1.0
9,THE GRAND CANYON,the grand canyon,grand canyon,the,NOUN,earth formation,land,national park,famous,0.8592592592592593,58,7,58,12,0.1714285714285714,0.8923076923076924,1.0333333333333334,0.3076923076923077,,,-14.461012099837257,4.82758620689655,4.96153846153846,4.66666666666667,4.16,3.86363636363636,30.0,26.0,1.0
