,word_upper,word_lower,syntactic_category,semantic_category,acc,hits,misses,correct.rejections,false.alarms,# meanings (human),# synonyms (human),Google n-gram frequency,Google n-gram frequency no article,Arousal,Concreteness,Familiarity,Imageability,Valence,# subjects (human) meanings,1/# meanings (human),# subjects (human) synonyms,# synonyms (human) + 1,1/# synonyms (human),experiment_date,input_trial,article,word_no_article_upper,word_no_article_lower,multi_word,false.alarm.rate,hit.rate
0,A BABOON,a baboon,NOUN,living things,0.8231292517006803,51,21,70,5,1.25925925925926,0.8,-16.19678609686154,-14.385768860965399,3.65217391304348,4.62962962962963,4.78571428571429,4.79310344827586,3.23076923076923,27,0.7941176470588229,25,1.8,0.5555555555555556,mm_mar_2013,A BABOON,a,BABOON,baboon,1.0,0.06666666666666668,0.7083333333333334
1,A BACHELOR,a bachelor,NOUN,family relations,0.8405797101449275,60,6,56,16,1.32,1.65,-13.37027963977946,-12.252586969619546,3.17391304347826,3.85,4.89655172413793,3.19230769230769,3.35714285714286,25,0.7575757575757576,20,2.65,0.37735849056603776,mm_mar_2013,A BACHELOR,a,BACHELOR,bachelor,1.0,0.2222222222222222,0.9090909090909092
2,A BAGGAGE MAN,a baggage man,NOUN,people,0.8858695652173914,71,17,92,4,1.17857142857143,1.3478260869565202,-21.50302506698461,-19.20081720782488,2.13636363636364,4.17241379310345,3.56666666666667,3.9615384615384603,2.96551724137931,28,0.8484848484848475,23,2.34782608695652,0.4259259259259263,mm_mar_2013,A BAGGAGE MAN,a,BAGGAGE MAN,baggage man,1.0,0.04166666666666666,0.8068181818181818
3,A BAKING TRAY,a baking tray,NOUN,household item,0.8187919463087249,45,26,77,1,1.03333333333333,1.34615384615385,-15.7829182708958,-15.155471095838692,1.90909090909091,4.79310344827586,4.63333333333333,4.57692307692308,3.43333333333333,30,0.9677419354838741,26,2.3461538461538503,0.42622950819672056,mm_mar_2013,A BAKING TRAY,a,BAKING TRAY,baking tray,1.0,0.01282051282051282,0.6338028169014085
4,A BANANA SPLIT,a banana split,NOUN,food,0.9069767441860463,70,12,86,4,1.13333333333333,0.304347826086957,-17.631824086343443,-16.634037979318,3.6190476190476204,4.65217391304348,4.85714285714286,4.8,4.5,30,0.8823529411764732,23,1.304347826086957,0.7666666666666664,mm_mar_2013,A BANANA SPLIT,a,BANANA SPLIT,banana split,1.0,0.04444444444444445,0.8536585365853658
5,A BARITONE SAXOPHONE,a baritone saxophone,NOUN,musical instruments,0.8766233766233766,56,16,79,3,1.0,0.0476190476190476,-20.809877878857986,-17.906416206143913,3.0,4.69565217391304,3.79310344827586,4.28,3.53571428571429,28,1.0,21,1.0476190476190477,0.9545454545454544,mm_mar_2013,A BARITONE SAXOPHONE,a,BARITONE SAXOPHONE,baritone saxophone,1.0,0.03658536585365853,0.7777777777777778
6,A BARKEEPER,a barkeeper,NOUN,people,0.8586956521739131,67,21,91,5,1.11111111111111,2.0,-19.719610957336744,-16.97784554811252,3.0,4.19230769230769,4.57692307692308,4.15384615384615,3.4137931034482794,27,0.9000000000000009,23,3.0,0.3333333333333333,mm_mar_2013,A BARKEEPER,a,BARKEEPER,barkeeper,1.0,0.052083333333333336,0.7613636363636364
7,A BARONESS,a baroness,NOUN,people,0.8376623376623377,53,21,76,4,1.04166666666667,0.6363636363636359,-17.491749437945572,-13.726070676558836,3.2,3.56,3.68,2.88461538461538,3.03333333333333,24,0.9599999999999967,22,1.636363636363636,0.6111111111111113,mm_mar_2013,A BARONESS,a,BARONESS,baroness,1.0,0.05,0.7162162162162162
8,A BASS CLARINET,a bass clarinet,NOUN,musical instruments,0.8345323741007195,48,18,68,5,1.0,0.0454545454545455,-19.66049326676431,-16.596365381394804,2.71428571428571,4.56521739130435,3.7241379310344795,4.64,3.53571428571429,27,1.0,22,1.0454545454545454,0.9565217391304348,mm_mar_2013,A BASS CLARINET,a,BASS CLARINET,bass clarinet,1.0,0.0684931506849315,0.7272727272727273
9,A BASS VIOLA,a bass viola,NOUN,musical instruments,0.8538011695906432,59,23,87,2,1.0,0.0,-22.329703630440488,-20.859045224629085,2.6666666666666696,4.26086956521739,3.21428571428571,4.56,3.64285714285714,27,1.0,21,1.0,1.0,mm_mar_2013,A BASS VIOLA,a,BASS VIOLA,bass viola,1.0,0.02247191011235955,0.7195121951219512
