Word,pos_ntlk,pos_category
whorehouse,NN,NOUN
pi,NN,NOUN
angus,NN,NOUN
vagina,NN,NOUN
anus,NN,NOUN
nemo,NN,NOUN
battleship,NN,NOUN
tampons,NNS,NOUN
madonna,NN,NOUN
threesome,NN,NOUN
prostitutes,NNS,NOUN
montgomery,NN,NOUN
hellhole,NN,NOUN
hooters,NNS,NOUN
gargoyles,NNS,NOUN
solomon,NN,NOUN
hemorrhaging,VBG,VERB
unicorn,JJ,ADJ
yahoo,NN,NOUN
potbelly,RB,ADV
wolverine,NN,NOUN
psst,NN,NOUN
heil,NN,NOUN
enema,NN,NOUN
baghdad,NN,NOUN
gps,NN,NOUN
woo,NN,NOUN
wetback,NN,NOUN
brainwashed,VBN,VERB
shh,NN,NOUN
lupus,NN,NOUN
boomerang,NN,NOUN
eisenhower,NN,NOUN
mannequin,NN,NOUN
bikini,NN,NOUN
coccyx,NN,NOUN
alzheimer,NN,NOUN
pussyfoot,NN,NOUN
diva,NN,NOUN
knuckleheads,NNS,NOUN
batman,NN,NOUN
lingerie,NN,NOUN
fatty,NN,NOUN
napa,NN,NOUN
manhattan,NN,NOUN
mastiff,NN,NOUN
dike,NN,NOUN
manufacturing,NN,NOUN
loony,NN,NOUN
straightjacket,NN,NOUN
exorcism,NN,NOUN
hoodie,NN,NOUN
concession,NN,NOUN
dominatrix,NN,NOUN
yen,NN,NOUN
gonzo,NN,NOUN
ketchup,NN,NOUN
superman,NN,NOUN
cavalry,NN,NOUN
weirdo,NN,NOUN
minnie,NN,NOUN
rehabilitation,NN,NOUN
guinea,NN,NOUN
broccoli,NN,NOUN
calzone,NN,NOUN
encyclopedia,NN,NOUN
lasagna,NN,NOUN
pineapple,NN,NOUN
underestimated,JJ,ADJ
barracks,NNS,NOUN
aussie,NN,NOUN
london,NN,NOUN
swingers,NNS,NOUN
mullet,NN,NOUN
contraceptives,NNS,NOUN
homer,NN,NOUN
hostess,NN,NOUN
flamingos,NNS,NOUN
counterfeit,NN,NOUN
affidavit,NN,NOUN
fatso,NN,NOUN
che,NN,NOUN
vulgar,NN,NOUN
daredevil,NN,NOUN
redheads,NNS,NOUN
cher,NN,NOUN
messiah,NN,NOUN
reindeer,NN,NOUN
shampoo,NN,NOUN
noir,NN,NOUN
pom,NN,NOUN
chihuahua,NN,NOUN
ufo,NN,NOUN
silva,NN,NOUN
lilo,NN,NOUN
groundwater,NN,NOUN
woolworth,NN,NOUN
ko,NN,NOUN
jailbird,NN,NOUN
hao,NN,NOUN
cesarean,NN,NOUN
savvy,NN,NOUN
oops,NNS,NOUN
firework,NN,NOUN
oversexed,NN,NOUN
haemoglobin,NN,NOUN
blueberries,NNS,NOUN
blitzkrieg,NN,NOUN
molesting,VBG,VERB
nirvana,NNS,NOUN
jewellery,NN,NOUN
beethoven,RB,ADV
thanksgiving,VBG,VERB
cairo,NN,NOUN
slingshot,NN,NOUN
neighborhoods,NNS,NOUN
headquarters,NNS,NOUN
forklift,NN,NOUN
hussy,NN,NOUN
euro,NN,NOUN
cuckoo,NN,NOUN
pluto,NN,NOUN
ballard,NN,NOUN
chrysanthemum,NN,NOUN
hercules,NNS,NOUN
promiscuous,JJ,ADJ
bonbon,NN,NOUN
crackerjack,NN,NOUN
cauliflower,NN,NOUN
honolulu,NN,NOUN
marrow,NN,NOUN
maya,NN,NOUN
binoculars,NNS,NOUN
bourbon,NN,NOUN
doorman,NN,NOUN
sylvia,NN,NOUN
cheerio,NN,NOUN
rhubarb,NN,NOUN
emily,RB,ADV
yo,NN,NOUN
mink,NN,NOUN
goodyear,NN,NOUN
aneurysm,NN,NOUN
antoinette,NN,NOUN
eggnog,NN,NOUN
philadelphia,NN,NOUN
lithium,NN,NOUN
chile,NN,NOUN
shalom,NN,NOUN
anonymous,JJ,ADJ
parliament,NN,NOUN
eiffel,NN,NOUN
hellcats,NNS,NOUN
atlanta,NN,NOUN
undergraduate,NN,NOUN
cowbell,NN,NOUN
ouija,NN,NOUN
ye,NN,NOUN
balls,NNS,NOUN
yoga,NN,NOUN
peebles,NNS,NOUN
tum,NN,NOUN
tango,NN,NOUN
embezzler,NN,NOUN
britannica,NN,NOUN
bombay,NN,NOUN
barbara,NN,NOUN
tithing,NN,NOUN
depot,NN,NOUN
niagara,NN,NOUN
brandy,NN,NOUN
zombies,NNS,NOUN
manifest,JJS,ADJ
mahjong,NN,NOUN
squirrels,NNS,NOUN
hoarding,VBG,VERB
hootenanny,NN,NOUN
barbecued,VBN,VERB
sweetie,NN,NOUN
mondo,NN,NOUN
woof,NN,NOUN
yang,NN,NOUN
piranha,NN,NOUN
ahoy,NN,NOUN
eden,NN,NOUN
kinky,NN,NOUN
chambermaid,NN,NOUN
picard,NN,NOUN
correspondence,NN,NOUN
tesla,NN,NOUN
crappy,JJ,ADJ
buttermilk,NN,NOUN
pope,NN,NOUN
salmon,NN,NOUN
pennsylvania,NN,NOUN
moolah,NN,NOUN
poe,NN,NOUN
hippopotamus,NN,NOUN
cosmopolitan,NN,NOUN
kai,NN,NOUN
chowder,NN,NOUN
lilies,NNS,NOUN
macbeth,NNS,NOUN
vogue,NN,NOUN
chastity,NN,NOUN
wong,NN,NOUN
uninterrupted,JJ,ADJ
argh,NN,NOUN
galileo,NN,NOUN
tomcats,NNS,NOUN
elvis,NN,NOUN
aw,NN,NOUN
beige,NN,NOUN
chandler,NN,NOUN
cellular,JJ,ADJ
lama,NN,NOUN
whiplash,NN,NOUN
boa,NN,NOUN
disco,NN,NOUN
amish,JJ,ADJ
sloth,NN,NOUN
garbage,NN,NOUN
kimchi,NNS,NOUN
newton,NN,NOUN
ogre,NN,NOUN
metaphysics,NNS,NOUN
avalanche,NN,NOUN
