,word_upper,word_lower,pos,acc,hits,misses,correct_rejections,false_alarms,false_alarm_rate,hit_rate,num_meanings_human,num_synonyms_human,num_meanings_wordnet,num_synonyms_wordnet,log_subtlex_frequency,log_subtlex_cd,google_ngram_frequency,concreteness,imageability,familiarity,valence,arousal,glove_distinctiveness,log_topic_variability,log_document_frequency,log_orthographic_neighborhood_size,log_phonological_neighborhood_size,num_ratings_meanings,num_ratings_synonyms,num_meanings_human_demean,num_synonyms_human_demean,num_meanings_wordnet_demean,num_synonyms_wordnet_demean,log_subtlex_frequency_demean,log_subtlex_cd_demean,google_ngram_frequency_demean,arousal_demean,concreteness_demean,familiarity_demean,imageability_demean,valence_demean,glove_distinctiveness_demean,log_topic_variability_demean,log_document_frequency_demean,log_orthographic_neighborhood_size_demean,log_phonological_neighborhood_size_demean,acc_demean,num_meanings_human_zscore,num_synonyms_human_zscore,num_meanings_wordnet_zscore,num_synonyms_wordnet_zscore,log_subtlex_frequency_zscore,log_subtlex_cd_zscore,google_ngram_frequency_zscore,arousal_zscore,concreteness_zscore,familiarity_zscore,imageability_zscore,valence_zscore,glove_distinctiveness_zscore,log_topic_variability_zscore,log_document_frequency_zscore,log_orthographic_neighborhood_size_zscore,log_phonological_neighborhood_size_zscore,acc_zscore
1,PI,pi,n,0.9548022598870056,82,3,87,5,0.0543478260869565,0.9647058823529412,1.434782608695652,0.1818181818181818,5,13,2.2742,2.0,-11.789552376109311,3.03846153846154,3.16,4.17857142857143,3.25925925925926,2.59090909090909,0.0744167196613107,1.566878,2.302585,2.4849066497880004,4.04305126783455,23.0,22.0,0.01838121384419167,-1.5325393887642726,1.7358937885253676,4.2769084874348025,0.19504978662873373,0.11442527264106217,1.0739368505593205,-0.382859701438901,-0.1447734169740258,-0.3060286435998565,0.11427056526217516,0.23537753032610897,-0.021630587940981896,-0.848920036603221,-1.6090551808199125,1.5824680484971003,2.8439689724775645,0.15806467152814896,0.05535160587068866,-1.516921807138603,0.40884231423193834,0.3711448344513909,0.2764897635545477,0.17886076306129342,0.5742522700734595,-0.5691110486654493,-0.14960558411349206,-0.5487690660510619,0.10966389864169213,0.3020441213697813,-0.7778214653848525,-1.1176118014030627,-1.228991897492594,1.7469115571756069,2.4997509141845917,2.676439922474322
2,ANGUS,angus,n,0.91875,72,4,75,9,0.1071428571428571,0.9473684210526316,1.64,0.5,2,7,2.3201,1.6532,-12.542316604825883,3.57692307692308,2.84,4.11111111111111,3.21428571428571,3.22727272727273,0.0772900529056174,1.191394,1.609438,1.0986122886681098,0.6931471805599453,25.0,22.0,0.22359860514853946,-1.2143575705824545,-1.2641062114746324,-1.7230915125651975,0.2409497866287338,-0.23237472735893783,0.32117262184274864,0.2535039349247392,0.3936881214875143,-0.37348896106017637,-0.20572943473782512,0.19040398535255898,-0.018757254696675205,-1.224404036603221,-2.3022021808199127,0.19617368737720975,-0.5059351147970405,0.12201241164114329,0.6733256013627517,-1.2019824703922966,-0.29772565139097174,-0.14952775259383097,0.3415545881129571,-0.3632302558015895,0.17173645459934392,0.37682704579149834,0.4068284261346823,-0.6697385771815725,-0.1974357248250127,0.2443326021028402,-0.6744983249910926,-1.6119402794033606,-1.7584156592912528,0.21655924239258353,-0.4446995652804947,2.065982780317684
3,VAGINA,vagina,n,0.9351351351351352,83,5,90,7,0.0721649484536082,0.9431818181818182,1.037037037037037,3.130434782608696,1,1,2.4133,2.1303,-12.408193765947534,4.96428571428571,4.91304347826087,4.96428571428571,3.46428571428571,4.11111111111111,0.1314429257187584,1.513294,3.091042,1.0986122886681098,0.6931471805599453,27.0,23.0,-0.37936435781442346,1.4160772120262413,-2.2641062114746324,-7.7230915125651975,0.33414978662873374,0.24472527264106225,0.45529546072109817,1.1373423187631189,1.781050758850144,0.47968564211442377,1.867314043523045,0.440403985352559,0.0353956181164658,-0.9025040366032211,-0.8205981808199128,0.19617368737720975,-0.5059351147970405,0.13839754677627858,-1.1423851870243176,1.4016464563737534,-0.5332483065986084,-0.6702003396390528,0.4736687852555224,0.38253567585781506,0.24345421403228995,1.6906299547594668,1.8404976872332826,0.8601699459395301,1.7920357489375522,0.565140753321977,1.2728027378021562,-1.188155678546078,-0.6267706212604457,0.21655924239258353,-0.4446995652804947,2.34342510431608
4,ANUS,anus,n,0.9240506329113924,71,5,75,7,0.0853658536585365,0.9342105263157896,1.3703703703703705,2.8181818181818183,1,1,1.7559,1.6232,-13.090414893957986,4.73076923076923,4.56,4.625,2.19230769230769,3.18181818181818,0.1151558410879556,1.575536,3.044522,1.6094379124341005,0.0,27.0,22.0,-0.04603102448108998,1.1038242475993638,-2.2641062114746324,-7.7230915125651975,-0.32325021337126625,-0.26237472735893785,-0.22692566728935404,0.20804938947018892,1.547534275333664,0.1403999278287138,1.5142705652621746,-0.8315740366254611,0.019108533485662993,-0.840262036603221,-0.8671181808199124,0.7069993111432005,-1.1990822953569857,0.12731304455253578,-0.13861386666291511,1.0925755544736513,-0.5332483065986084,-0.6702003396390528,-0.45821826626295914,-0.41012394255443413,-0.12134100763092134,0.3092600390445667,1.5991870195236195,0.2517644634890507,1.4532247513085241,-1.0671029171665958,0.6871300751383655,-1.1062134569662117,-0.6623024686158745,0.7804677438664335,-1.0539520975821157,2.1557360781373403
5,NEMO,nemo,,0.9004739336492891,98,7,92,14,0.1320754716981132,0.9333333333333332,1.3461538461538465,0.05,0,0,2.4082,1.5315,-14.077741715410466,3.84615384615385,3.81481481481481,3.75862068965517,3.39285714285714,2.72727272727273,0.0808507757924577,0.348307,2.639057,,,26.0,20.0,-0.07024754869761396,-1.6643575705824545,-3.2641062114746324,-8.723091512565198,0.32904978662873363,-0.35407472735893775,-1.2142524887418347,-0.24649606507526078,0.6629188907182839,-0.7259793825161163,0.769085380076985,0.36897541392398914,-0.015196531809834907,-2.067491036603221,-1.2725831808199124,,,0.10373634529043241,-0.21153742412506754,-1.6473966752192157,-0.768770961806245,-0.7569791041465898,0.4664393603045879,-0.5534623117289621,-0.649281424451717,-0.36641002842467024,0.685045431258769,-1.3018226759081142,0.738080720735592,0.4734812815450828,-0.5464571131096471,-2.721872829210642,-0.9719955143589754,,,1.7565221454147022
6,BATTLESHIP,battleship,n,0.821656050955414,67,5,62,23,0.2705882352941176,0.9305555555555556,1.7142857142857142,1.4090909090909092,1,2,1.9445,1.8129,-13.647165487063427,4.73076923076923,4.84615384615385,4.79166666666667,2.57692307692308,4.22727272727273,0.0802288355648877,1.437067,2.079442,0.6931471805599453,0.6931471805599453,28.0,22.0,0.29788431943425375,-0.30526666149154535,-2.2641062114746324,-6.7230915125651975,-0.13465021337126637,-0.07267472735893787,-0.7836762603947953,1.2535039349247392,1.547534275333664,0.3070665944953834,1.8004244114160253,-0.4469586520100708,-0.0158184720374049,-0.9787310366032209,-1.8321981808199128,-0.20929142073095475,-0.5059351147970405,0.02491846259655739,0.8970232099004356,-0.3021557939742778,-0.5332483065986084,-0.5834215751315158,-0.19087129650879806,-0.11359952998728047,-0.4190450037169413,1.8633011942238353,1.5991870195236195,0.5506303145173654,1.7278426838316392,-0.5735519152909934,-0.5688216674393858,-1.2885092938599894,-1.3994279038217539,-0.23104011612736028,-0.4446995652804947,0.4219334241822175
10,PROSTITUTES,prostitutes,n,0.8741721854304636,68,6,64,13,0.1688311688311688,0.918918918918919,1.5714285714285714,3.863636363636364,2,13,2.1673,2.0294,-12.618813104505804,4.42307692307692,4.53846153846154,4.70833333333333,2.03846153846154,4.09090909090909,0.1188312837175009,1.998096,2.833213,0.6931471805599453,0.6931471805599453,28.0,22.0,0.15502717657711096,2.1492787930539095,-1.2641062114746324,4.2769084874348025,0.08814978662873374,0.14382527264106204,0.24467612216282753,1.117140298561099,1.239841967641354,0.22373326116204417,1.4927321037237151,-0.9854201904716109,0.0227839761152083,-0.4177020366032209,-1.0784271808199124,-0.20929142073095475,-0.5059351147970405,0.07743459707160694,0.46683550117412065,2.127376232354373,-0.29772565139097174,0.3711448344513909,0.12495534644574682,0.22481657607908087,0.13083247726493183,1.6606001739830565,1.2812247279532325,0.4011973890032001,1.432554584344421,-1.2645233179168285,0.8192965321875728,-0.5499089495469713,-0.8236996984703104,-0.23104011612736028,-0.4446995652804947,1.311166151041247
11,MONTGOMERY,montgomery,n,0.913793103448276,76,7,83,8,0.0879120879120879,0.9156626506024096,1.3846153846153846,0.1052631578947368,3,9,2.49,1.9777,-12.022423844904996,3.85185185185185,2.79166666666667,3.5,3.21428571428571,2.47826086956522,0.1093125447320661,2.084636,3.583519,0.0,0.0,26.0,19.0,-0.03178601023607586,-1.6090944126877178,-0.2641062114746324,0.27690848743480245,0.41084978662873395,0.09212527264106218,0.8410653817636362,-0.495507922782771,0.668616896416284,-0.9846000721712862,-0.2540627680711549,0.19040398535255898,0.013265237129773497,-0.33116203660322086,-0.3281211808199127,-0.9024386012909,-1.1990822953569857,0.11705551508941936,-0.0957176563910607,-1.5926966851527522,-0.06220299618333503,0.024029776421242984,0.5823936663803593,0.14400312257501233,0.44973194141389655,-0.7365597175599957,0.6909336218433999,-1.7655800309520382,-0.24382056378612613,0.2443326021028402,0.4770090489962707,-0.4359781655824194,-0.25061805053689346,-0.996216273518872,-1.0539520975821157,1.9820498198759406
15,SOLOMON,solomon,n,0.8765432098765432,70,7,72,13,0.1529411764705882,0.9090909090909092,1.148148148148148,0.0434782608695652,1,1,2.1931,1.8195,-11.549141511022244,3.65384615384615,3.0,3.75862068965517,3.10344827586207,2.31818181818182,0.1082155831188949,2.327278,3.610918,0.0,0.0,27.0,23.0,-0.2682532467033125,-1.6708793097128893,-2.2641062114746324,-7.7230915125651975,0.11394978662873356,-0.06607472735893793,1.314347715646388,-0.6555869741661708,0.4706111984105843,-0.7259793825161163,-0.04572943473782498,0.07956654692891885,0.012168275516602295,-0.08852003660322083,-0.30072218081991275,-0.9024386012909,-1.1990822953569857,0.07980562151768655,-0.8077947469038507,-1.6538519535500409,-0.5332483065986084,-0.6702003396390528,0.16152773149164987,-0.10328291890165477,0.7028040419534085,-0.9745130891469914,0.4863189990272712,-1.3018226759081142,-0.04388591309166028,0.10210238727662857,0.43756304356378856,-0.11653752214901522,-0.22969077010500608,-0.996216273518872,-1.0539520975821157,1.3513136705552449
17,UNICORN,unicorn,n,0.9050632911392406,70,7,73,8,0.0987654320987654,0.9090909090909092,1.0769230769230769,0.08,1,1,2.1038,1.5798,-13.67098605950053,3.8,4.92,4.78571428571429,4.25,3.68181818181818,0.1294185679666638,0.916291,1.791759,0.6931471805599453,0.6931471805599453,26.0,25.0,-0.33947831792838357,-1.6343575705824545,-2.2641062114746324,-7.7230915125651975,0.02464978662873385,-0.30577472735893774,-0.8074968328318981,0.7080493894701889,0.6167650445644339,0.30111421354300383,1.874270565262175,1.226118271066849,0.033371260364371186,-1.499507036603221,-2.1198811808199123,-0.20929142073095475,-0.5059351147970405,0.10832570278038389,-1.022275798263124,-1.6177023948974212,-0.5332483065986084,-0.6702003396390528,0.03494191813509352,-0.4779634760568824,-0.43178226828639094,1.0524971132607353,0.6373510875232073,0.5399565341234998,1.798711827708567,1.573394942867841,1.2000081879039466,-1.974116157159313,-1.619159383674546,-0.23104011612736028,-0.4446995652804947,1.8342317277385756
