,word_upper,word_lower,pos,acc,hits,misses,correct_rejections,false_alarms,false_alarm_rate,hit_rate,num_meanings_human,num_synonyms_human,num_meanings_wordnet,num_synonyms_wordnet,log_subtlex_frequency,log_subtlex_cd,google_ngram_frequency,concreteness,imageability,familiarity,valence,arousal,glove_distinctiveness,log_topic_variability,log_document_frequency,log_orthographic_neighborhood_size,log_phonological_neighborhood_size,num_ratings_meanings,num_ratings_synonyms,Word,pos_ntlk,pos_category,num_meanings_human_demean,num_synonyms_human_demean,num_meanings_wordnet_demean,num_synonyms_wordnet_demean,log_subtlex_frequency_demean,log_subtlex_cd_demean,google_ngram_frequency_demean,arousal_demean,concreteness_demean,familiarity_demean,imageability_demean,valence_demean,glove_distinctiveness_demean,log_topic_variability_demean,log_document_frequency_demean,log_orthographic_neighborhood_size_demean,log_phonological_neighborhood_size_demean,acc_demean,num_meanings_human_zscore,num_synonyms_human_zscore,num_meanings_wordnet_zscore,num_synonyms_wordnet_zscore,log_subtlex_frequency_zscore,log_subtlex_cd_zscore,google_ngram_frequency_zscore,arousal_zscore,concreteness_zscore,familiarity_zscore,imageability_zscore,valence_zscore,glove_distinctiveness_zscore,log_topic_variability_zscore,log_document_frequency_zscore,log_orthographic_neighborhood_size_zscore,log_phonological_neighborhood_size_zscore,acc_zscore
0,WHOREHOUSE,whorehouse,n,0.9444444444444444,83,3,87,7,0.0744680851063829,0.9651162790697676,1.0,2.1923076923076925,1,9,1.9031,1.8325,-15.21272990973005,4.34615384615385,4.37037037037037,4.48275862068965,1.62068965517241,4.0,0.0916831854546719,,,0.0,0.0,29.0,26.0,whorehouse,NN,NOUN,-0.41640139485146044,0.477950121725238,-2.2641062114746324,0.27690848743480245,-0.17605021337126625,-0.05307472735893781,-2.349240683061419,1.026231207652009,1.1629188907182844,-0.0018414514816358363,1.3246409356325453,-1.403192073760741,-0.004364122147620705,,,-0.9024386012909,-1.1990822953569857,0.14770685608558776,-1.2539153337311397,0.4730794964781692,-0.5332483065986084,0.024029776421242984,-0.24955721669873573,-0.08296232130875528,-1.2561788847215156,1.525466160489209,1.201734155060644,-0.0033020817851186135,1.271239789254181,-1.80062181995412,-0.1569309115980847,,,-0.996216273518872,-1.0539520975821157,2.5010555656026794
1,PI,pi,n,0.9548022598870056,82,3,87,5,0.0543478260869565,0.9647058823529412,1.434782608695652,0.1818181818181818,5,13,2.2742,2.0,-11.789552376109311,3.03846153846154,3.16,4.17857142857143,3.25925925925926,2.59090909090909,0.0744167196613107,1.566878,2.302585,2.4849066497880004,4.04305126783455,23.0,22.0,pi,NN,NOUN,0.01838121384419167,-1.5325393887642726,1.7358937885253676,4.2769084874348025,0.19504978662873373,0.11442527264106217,1.0739368505593205,-0.382859701438901,-0.1447734169740258,-0.3060286435998565,0.11427056526217516,0.23537753032610897,-0.021630587940981896,-0.848920036603221,-1.6090551808199125,1.5824680484971003,2.8439689724775645,0.15806467152814896,0.05535160587068866,-1.516921807138603,0.40884231423193834,0.3711448344513909,0.2764897635545477,0.17886076306129342,0.5742522700734595,-0.5691110486654493,-0.14960558411349206,-0.5487690660510619,0.10966389864169213,0.3020441213697813,-0.7778214653848525,-1.1176118014030627,-1.228991897492594,1.7469115571756069,2.4997509141845917,2.676439922474322
2,ANGUS,angus,n,0.91875,72,4,75,9,0.1071428571428571,0.9473684210526316,1.64,0.5,2,7,2.3201,1.6532,-12.542316604825883,3.57692307692308,2.84,4.11111111111111,3.21428571428571,3.22727272727273,0.0772900529056174,1.191394,1.609438,1.0986122886681098,0.6931471805599453,25.0,22.0,angus,NN,NOUN,0.22359860514853946,-1.2143575705824545,-1.2641062114746324,-1.7230915125651975,0.2409497866287338,-0.23237472735893783,0.32117262184274864,0.2535039349247392,0.3936881214875143,-0.37348896106017637,-0.20572943473782512,0.19040398535255898,-0.018757254696675205,-1.224404036603221,-2.3022021808199127,0.19617368737720975,-0.5059351147970405,0.12201241164114329,0.6733256013627517,-1.2019824703922966,-0.29772565139097174,-0.14952775259383097,0.3415545881129571,-0.3632302558015895,0.17173645459934392,0.37682704579149834,0.4068284261346823,-0.6697385771815725,-0.1974357248250127,0.2443326021028402,-0.6744983249910926,-1.6119402794033606,-1.7584156592912528,0.21655924239258353,-0.4446995652804947,2.065982780317684
3,VAGINA,vagina,n,0.9351351351351352,83,5,90,7,0.0721649484536082,0.9431818181818182,1.037037037037037,3.130434782608696,1,1,2.4133,2.1303,-12.408193765947534,4.96428571428571,4.91304347826087,4.96428571428571,3.46428571428571,4.11111111111111,0.1314429257187584,1.513294,3.091042,1.0986122886681098,0.6931471805599453,27.0,23.0,vagina,NN,NOUN,-0.37936435781442346,1.4160772120262413,-2.2641062114746324,-7.7230915125651975,0.33414978662873374,0.24472527264106225,0.45529546072109817,1.1373423187631189,1.781050758850144,0.47968564211442377,1.867314043523045,0.440403985352559,0.0353956181164658,-0.9025040366032211,-0.8205981808199128,0.19617368737720975,-0.5059351147970405,0.13839754677627858,-1.1423851870243176,1.4016464563737534,-0.5332483065986084,-0.6702003396390528,0.4736687852555224,0.38253567585781506,0.24345421403228995,1.6906299547594668,1.8404976872332826,0.8601699459395301,1.7920357489375522,0.565140753321977,1.2728027378021562,-1.188155678546078,-0.6267706212604457,0.21655924239258353,-0.4446995652804947,2.34342510431608
4,ANUS,anus,n,0.9240506329113924,71,5,75,7,0.0853658536585365,0.9342105263157896,1.3703703703703705,2.8181818181818183,1,1,1.7559,1.6232,-13.090414893957986,4.73076923076923,4.56,4.625,2.19230769230769,3.18181818181818,0.1151558410879556,1.575536,3.044522,1.6094379124341005,0.0,27.0,22.0,anus,NN,NOUN,-0.04603102448108998,1.1038242475993638,-2.2641062114746324,-7.7230915125651975,-0.32325021337126625,-0.26237472735893785,-0.22692566728935404,0.20804938947018892,1.547534275333664,0.1403999278287138,1.5142705652621746,-0.8315740366254611,0.019108533485662993,-0.840262036603221,-0.8671181808199124,0.7069993111432005,-1.1990822953569857,0.12731304455253578,-0.13861386666291511,1.0925755544736513,-0.5332483065986084,-0.6702003396390528,-0.45821826626295914,-0.41012394255443413,-0.12134100763092134,0.3092600390445667,1.5991870195236195,0.2517644634890507,1.4532247513085241,-1.0671029171665958,0.6871300751383655,-1.1062134569662117,-0.6623024686158745,0.7804677438664335,-1.0539520975821157,2.1557360781373403
5,NEMO,nemo,,0.9004739336492891,98,7,92,14,0.1320754716981132,0.9333333333333332,1.3461538461538465,0.05,0,0,2.4082,1.5315,-14.077741715410466,3.84615384615385,3.81481481481481,3.75862068965517,3.39285714285714,2.72727272727273,0.0808507757924577,0.348307,2.639057,,,26.0,20.0,nemo,NN,NOUN,-0.07024754869761396,-1.6643575705824545,-3.2641062114746324,-8.723091512565198,0.32904978662873363,-0.35407472735893775,-1.2142524887418347,-0.24649606507526078,0.6629188907182839,-0.7259793825161163,0.769085380076985,0.36897541392398914,-0.015196531809834907,-2.067491036603221,-1.2725831808199124,,,0.10373634529043241,-0.21153742412506754,-1.6473966752192157,-0.768770961806245,-0.7569791041465898,0.4664393603045879,-0.5534623117289621,-0.649281424451717,-0.36641002842467024,0.685045431258769,-1.3018226759081142,0.738080720735592,0.4734812815450828,-0.5464571131096471,-2.721872829210642,-0.9719955143589754,,,1.7565221454147022
6,BATTLESHIP,battleship,n,0.821656050955414,67,5,62,23,0.2705882352941176,0.9305555555555556,1.7142857142857142,1.4090909090909092,1,2,1.9445,1.8129,-13.647165487063427,4.73076923076923,4.84615384615385,4.79166666666667,2.57692307692308,4.22727272727273,0.0802288355648877,1.437067,2.079442,0.6931471805599453,0.6931471805599453,28.0,22.0,battleship,NN,NOUN,0.29788431943425375,-0.30526666149154535,-2.2641062114746324,-6.7230915125651975,-0.13465021337126637,-0.07267472735893787,-0.7836762603947953,1.2535039349247392,1.547534275333664,0.3070665944953834,1.8004244114160253,-0.4469586520100708,-0.0158184720374049,-0.9787310366032209,-1.8321981808199128,-0.20929142073095475,-0.5059351147970405,0.02491846259655739,0.8970232099004356,-0.3021557939742778,-0.5332483065986084,-0.5834215751315158,-0.19087129650879806,-0.11359952998728047,-0.4190450037169413,1.8633011942238353,1.5991870195236195,0.5506303145173654,1.7278426838316392,-0.5735519152909934,-0.5688216674393858,-1.2885092938599894,-1.3994279038217539,-0.23104011612736028,-0.4446995652804947,0.4219334241822175
7,TAMPONS,tampons,n,0.9314285714285714,78,6,85,6,0.0659340659340659,0.9285714285714286,1.0714285714285714,0.5555555555555556,2,2,1.5798,1.5315,-15.318618485891646,4.7037037037037,4.625,4.69230769230769,2.03571428571429,2.04347826086957,0.0708229153732874,,,0.6931471805599453,0.6931471805599453,28.0,27.0,tampons,NNS,NOUN,-0.34497282342288904,-1.158802015026899,-1.2641062114746324,-6.7230915125651975,-0.49935021337126617,-0.35407472735893775,-2.455129259223014,-0.9302905314784211,1.5204687482681338,0.20770762013640365,1.579270565262175,-0.988167443218861,-0.025224392229005202,,,-0.20929142073095475,-0.5059351147970405,0.13469098306971472,-1.0388214793679824,-1.1469930623889733,-0.29772565139097174,-0.5834215751315158,-0.7078460572158106,-0.5534623117289621,-1.3127993044454254,-1.3828528255740522,1.5712181142465915,0.3724602879427866,1.5156043623251987,-1.2680486822159365,-0.9070522623120378,,,-0.23104011612736028,-0.4446995652804947,2.2806634828637162
8,MADONNA,madonna,n,0.93125,71,6,78,5,0.0602409638554216,0.922077922077922,2.1153846153846154,0.6666666666666666,2,7,2.4533,2.1239,-13.040895383231318,4.19230769230769,4.36,4.67857142857143,3.46428571428571,3.90909090909091,0.116629287693428,,,0.0,0.0,26.0,24.0,madonna,NN,NOUN,0.698983220533155,-1.0476909039157878,-1.2641062114746324,-1.7230915125651975,0.37414978662873377,0.23832527264106207,-0.17740615656268588,0.9353221167429191,1.009072736872124,0.1939713564001435,1.3142705652621753,0.440403985352559,0.02058198009113539,,,-0.9024386012909,-1.1990822953569857,0.13451241164114336,2.10485793055509,-1.0370142463823264,-0.29772565139097174,-0.14952775259383097,0.5303701574197136,0.37253168935054126,-0.09486208437495335,1.3903321469953616,1.0427530092754451,0.3478284870338665,1.2612874866418344,0.565140753321977,0.7401142289192013,,,-0.996216273518872,-1.0539520975821157,2.2776398109968716
9,THREESOME,threesome,n,0.9171974522292994,70,6,74,7,0.0864197530864197,0.9210526315789472,1.5925925925925926,0.9130434782608696,2,22,2.0374,1.7634,-14.66824377425118,3.35714285714286,4.1304347826087,4.85714285714286,3.42857142857143,4.44444444444444,0.0856976586011488,,,0.0,0.0,27.0,23.0,threesome,NN,NOUN,0.17619119774113212,-0.8013140923215849,-1.2641062114746324,13.276908487434802,-0.04175021337126639,-0.12217472735893775,-1.804754547582549,1.4706756520964492,0.17390790170729398,0.3725427849715741,1.0847053478708748,0.40468969963827917,-0.01034964900114381,,,-0.9024386012909,-1.1990822953569857,0.12045986387044272,0.5305670135780192,-0.7931481761067185,-0.29772565139097174,1.1521537150192236,-0.05918235965746413,-0.1909741131294738,-0.9650329023861276,2.1861213375702415,0.17971250358440716,0.668041898849916,1.0409768871983327,0.5193110174335365,-0.3721664512427083,,,-0.996216273518872,-1.0539520975821157,2.0396941682269576
