,comparison_index,model,model_add_predictor,F,Pr(>F),ss_diff,df_diff,ssr
0,0.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + concreteness_demean,,,,0.0,5.537534604070413
1,0.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + concreteness_demean,46.06930918784274,1.469356657920033e-11,0.1155878488959523,1.0,5.421946755174461
0,1.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + imageability_demean,,,,0.0,5.537534604070413
1,1.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + imageability_demean,101.5847146858257,2.2295439048739897e-23,0.24862223684539053,1.0,5.288912367225023
0,2.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + familiarity_demean,,,,0.0,5.537534604070413
1,2.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + familiarity_demean,2.2374021389132475,0.13485315053402716,0.0057273842229257355,1.0,5.5318072198474875
0,3.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + valence_demean,,,,0.0,5.537534604070413
1,3.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + valence_demean,2.400672196373242,0.12142955326418198,0.006144865133535404,1.0,5.531389738936878
0,4.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + arousal_demean,,,,0.0,5.537534604070413
1,4.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + arousal_demean,26.01255189615427,3.6876373374419935e-07,0.06586400527982494,1.0,5.471670598790588
0,5.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + google_ngram_frequency_demean,,,,0.0,5.537534604070413
1,5.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + google_ngram_frequency_demean,142.05990762399964,9.123174881408514e-32,0.3415723801690076,1.0,5.195962223901406
