,word_upper,word_lower,word_lower_no_article,article,syntactic_category,category,subcategory_1,subcategory_2,subcategory_3,acc,hits,misses,correct_rejections,false_alarms,false_alarm_rate,hit_rate,num_meanings_human,num_synonyms_human,Log Subtlex frequency,Log Subtlex CD,google_ngram_frequency,concreteness,imageability,familiarity,valence,arousal,num_ratings_meanings,num_ratings_synonyms,multi_word,log_topic_variability,log_document_frequency,log_orthographic_neighborhood_size,log_phonological_neighborhood_size,num_ratings_meanings.1,num_ratings_synonyms.1,num_meanings_human_demean,num_synonyms_human_demean,google_ngram_frequency_demean,arousal_demean,concreteness_demean,familiarity_demean,imageability_demean,valence_demean,log_topic_variability_demean,log_document_frequency_demean,log_orthographic_neighborhood_size_demean,log_phonological_neighborhood_size_demean,acc_demean,num_meanings_human_zscore,num_synonyms_human_zscore,google_ngram_frequency_zscore,arousal_zscore,concreteness_zscore,familiarity_zscore,imageability_zscore,valence_zscore,log_topic_variability_zscore,log_document_frequency_zscore,log_orthographic_neighborhood_size_zscore,log_phonological_neighborhood_size_zscore,acc_zscore
0,TESTY,testy,testy,,ADJ,,,,,0.7674418604651163,49,32,83,8,0.0879120879120879,0.6049382716049383,1.3103448275862069,3.28,1.699,1.6335,-15.01439019326011,1.58620689655172,1.73076923076923,4.2,2.08,3.59090909090909,29.0,25.0,0.0,,,1.3862943611198906,1.6094379124341005,29.0,25.0,-0.03522138283932197,1.8202292175626649,-0.4086930783137461,0.5923202565698209,-1.9988038212595594,-0.12238978104245035,-1.4912081371538917,-1.0684714745671666,,,0.16999963626178194,-0.015042157520734456,-0.030625032440206867,-0.11066961996389935,1.5262375218281676,-0.16335047614730233,0.8936667260776086,-2.006065646623261,-0.18091562661705238,-1.4862117170612112,-1.4561700153118866,,,0.17013670861418612,-0.012030313906796193,-0.45784147067613085
1,VALUABLE,valuable,valuable,,ADJ,,,,,0.6445783132530121,32,47,75,12,0.1379310344827586,0.4050632911392405,1.2413793103448276,3.5384615384615383,2.9009,2.8248,-10.405319636604904,1.58620689655172,2.30769230769231,4.7,4.56,3.72727272727273,29.0,26.0,0.0,3.838556,6.180017,0.6931471805599453,0.6931471805599453,29.0,26.0,-0.1041869000807012,2.078690756024203,4.20037747834146,0.7286838929334611,-1.9988038212595594,0.37761021895754965,-0.9142850602308115,1.411528525432833,1.334925207641196,1.9861325207641203,-0.5231475442981633,-0.9313328893948897,-0.1534885796523111,-0.32736717606315086,1.7429540178295033,1.6788482543341496,1.0994061771827506,-2.006065646623261,0.558180501654893,-0.9112216701301555,1.9237064942003599,1.5855858324988863,1.3337930160676186,-0.5235693632274756,-0.7448550512584287,-2.2946404114741203
2,TO FAX,to fax,fax,to,VERB,,,,,0.8378378378378378,48,22,76,2,0.0256410256410256,0.6857142857142857,1.0344827586206895,0.6153846153846154,2.5539,2.3636,-16.558364290137355,3.75862068965517,3.84615384615385,4.8,2.95833333333333,2.0,29.0,26.0,1.0,,,2.8903717578961645,3.4011973816621555,29.0,26.0,-0.3110834518048393,-0.8443861670527195,-1.9526671751909905,-0.998588834339269,0.1736099718438906,0.4776102189575493,0.6241764782307282,-0.19013814123383677,,,1.6740770330380559,1.7767173117073205,0.03977094493251465,-0.9774598443609068,-0.7080063536141764,-0.7804612550344917,-1.5066268701489798,0.1742407117311763,0.7059997273092814,0.6220851216859854,-0.2591304181929705,,,1.6754268575557447,1.420970825097069,0.5945720368993321
3,IRATE,irate,irate,,ADJ,,,,,0.7797619047619048,47,34,84,3,0.0344827586206896,0.5802469135802469,1.1666666666666667,3.72,1.5051,1.4914,-14.173767312483744,1.82758620689655,2.69230769230769,4.46666666666667,1.48,4.5,30.0,25.0,0.0,,,1.6094379124341005,1.9459101490553128,30.0,25.0,-0.17889954375886208,2.2602292175626655,0.431929802462621,1.501411165660731,-1.7574245109147293,0.1442768856242198,-0.5296696756154318,-1.6684714745671667,,,0.39314318757599187,0.32143007910047783,-0.01830498814341841,-0.5621228618373402,1.895171556687585,0.172637958992579,2.2652630667785183,-1.763809384583877,0.21326897512799028,-0.5278949721761255,-2.2738820740648498,,,0.39346018273396816,0.2570711512184903,-0.2736579204823599
4,A FOREARM,a forearm,forearm,a,NOUN,human body,external,,,0.8300653594771242,47,23,80,3,0.036144578313253,0.6714285714285714,1.0666666666666669,0.5833333333333334,1.7076,1.6232,-16.239910547183754,4.71428571428571,4.65384615384615,4.76666666666667,3.04,2.36363636363636,30.0,24.0,1.0,2.154665,3.332205,1.0986122886681098,1.0986122886681098,30.0,24.0,-0.27889954375886195,-0.8764374491040016,-1.6342134322373898,-0.6349524707029088,1.1292749964744306,0.44427688562421963,1.4318687859230281,-0.10847147456716666,-0.3489657923588041,-0.86167947923588,-0.11768243618999885,-0.5258677812867252,0.031998466571801054,-0.8763343181812548,-0.7348809190905325,-0.6531785255177788,-0.9579883338686216,1.1333777491932164,0.6567266520911572,1.427071187389451,-0.14783072130714586,-0.41449154845803854,-0.578663336649576,-0.11777732467752701,-0.4205749390424449,0.47837418697328393
5,DRACONIAN,draconian,draconian,,ADJ,,,,,0.8851351351351351,53,14,78,3,0.037037037037037,0.7910447761194029,1.125,3.05,0.9031,0.8451,-14.333386396593934,1.79310344827586,1.69230769230769,3.0,1.88,3.0,24.0,20.0,0.0,,,,,24.0,20.0,-0.22056621042552882,1.5902292175626649,0.2723107183524309,0.001411165660730962,-1.7919072695354192,-1.3223897810424505,-1.5296696756154315,-1.2684714745671668,,,,,0.08706824222981191,-0.6930443019806384,1.3333856399698358,0.10883983082467438,0.0021291046220195038,-1.7984174220180746,-1.9547463344697213,-1.5245443868566162,-1.7287407015628744,,,,,1.3016623623015962
6,A POLLSTER,a pollster,pollster,a,NOUN,people,Politics,,,0.7802197802197802,50,36,92,4,0.0416666666666666,0.5813953488372093,1.1363636363636365,1.0952380952380951,,,-17.90804886247484,3.41379310344828,2.30769230769231,3.6,2.72,2.13636363636364,22.0,21.0,1.0,,,,,22.0,21.0,-0.20920257406189235,-0.3645326871992398,-3.3023517475284745,-0.8622251979756292,-0.17121761436299954,-0.7223897810424504,-0.9142850602308115,-0.4284714745671665,,,,,-0.017847112685542954,-0.6573384546688295,-0.3056557161967303,-1.319916482535908,-1.3008874190438384,-0.17183966261079117,-1.0678309805433868,-0.9112216701301555,-0.5839438193087259,,,,,-0.26681272371629927
7,A SUCCESSOR,a successor,successor,a,NOUN,people,Politics,,,0.7302631578947368,44,26,67,15,0.1829268292682926,0.6285714285714286,1.2758620689655171,2.230769230769231,1.9345,1.8325,-14.140371825427389,2.79310344827586,1.76,4.36666666666667,3.28,2.54545454545455,29.0,26.0,1.0,2.850225,4.174387,0.0,0.6931471805599453,29.0,26.0,-0.06970414146001169,0.7709984483318959,0.4653252895189759,-0.4531342888847192,-0.7919072695354195,0.044276885624219275,-1.4619773679231216,0.1315285254328331,0.34659420764119586,-0.019497479235879744,-1.2162947248581086,-0.9313328893948897,-0.06780373501058634,-0.21901839801352546,0.6464717463941732,0.18598579628489254,-0.6836690657284281,-0.7947843364263504,0.06544974947360044,-1.4570788880167038,0.17925410219403903,0.4116746482247625,-0.013093588350154367,-1.2172754350691373,-0.7448550512584287,-1.0136597182449163
8,AN ALLEN WRENCH,an allen wrench,allen wrench,an,NOUN,tool,,,,0.8712121212121212,54,10,61,7,0.1029411764705882,0.84375,1.1428571428571428,0.4,,,-18.881986226225333,4.82758620689655,4.88461538461539,4.26666666666667,3.16,2.22727272727273,28.0,25.0,1.0,,,1.791759469228055,1.871802176901592,28.0,25.0,-0.20270906756838603,-1.0597707824373348,-4.2762891112789685,-0.7713161070665389,1.2425754890852705,-0.05572311437578037,1.6626380166922687,0.011528525432833447,,,0.5754647443699463,0.24732210694675705,0.07314522830679804,-0.6369351133477966,-0.8886034336152896,-1.7091893636982327,-1.1637277849737482,1.2470898721912962,-0.08236947618078809,1.6570672061618819,0.015711690443446887,,,0.5759287471641346,0.19780158388571575,1.09351456088448
9,THE GRAND CANYON,the grand canyon,grand canyon,the,NOUN,earth formation,land,national park,famous,0.8592592592592593,58,7,58,12,0.1714285714285714,0.8923076923076924,1.0333333333333334,0.3076923076923077,,,-14.461012099837257,4.82758620689655,4.96153846153846,4.66666666666667,4.16,3.86363636363636,30.0,26.0,1.0,,,1.9459101490553128,2.0149030205422647,30.0,26.0,-0.3122328770921954,-1.1520784747450272,0.1446850151091077,0.8650475292970912,1.2425754890852705,0.3442768856242191,1.7395610936153383,1.0115285254328334,,,0.7296154241972042,0.3904229505874297,0.0611923663539361,-0.9810714702958935,-0.9660021821871954,0.057829132333160546,1.3051456282878773,1.2470898721912962,0.5089074264367673,1.7337325457526813,1.3785651216983852,,,0.7302037201767971,0.31224979830918725,0.9148203535894588
